summoner_name,rank_tier,lp,win_rate,region
Pun1sher Reborn#EUW,challenger,1,,euw
Phanta#107,challenger,1,42%,euw
Closer#kral,challenger,1,38%,euw
Dagestan#2or3,challenger,1,37%,euw
G2 BrokenBlade#1918,challenger,1,34%,euw
JOHN WICK#BRKN,challenger,1,32%,euw
RaiderGO#TWTV3,challenger,500,30%,euw
Kaori#EUW33,challenger,5,39%,euw
JG top boy#lync1,challenger,500,43%,euw
Expedition 28#0211,challenger,5,35%,euw
G2 SkewMond#3327,challenger,500,36%,euw
Expedition 28#BLACK,challenger,500,38%,euw
5imay#1409,challenger,500,36%,euw
2026erltemp0002#RIOT,challenger,500,40%,euw
GX Monkey#XDD,challenger,500,33%,euw
zwaker#T1WIN,challenger,500,34%,euw
眠いな#2323,challenger,500,42%,euw
Thayger#SOUL,challenger,500,34%,euw
Agurin#DND,challenger,5,39%,euw
 Nothing much#EUW,challenger,500,43%,euw
Left Hand#korea,challenger,500,100%,euw
2026erltemp0001#RIOT,challenger,500,24%,euw
indoor fish#EUW,challenger,500,31%,euw
Fawkes#4321,challenger,500,39%,euw
KC Yiken#1111,challenger,500,43%,euw
CHALL BTW#EUW,challenger,500,33%,euw
Odysseus#131,challenger,131,43%,euw
J1HUIV#000,challenger,0,48%,euw
Thumbs Down#4847,challenger,500,43%,euw
stardewvalley67#EUW,challenger,500,41%,euw
Numb#2036,challenger,500,38%,euw
MISA Way#MISA,challenger,500,46%,euw
Yami Sukehiro#3309,challenger,500,37%,euw
SMRADOCH ZICSSI#EUW,challenger,500,40%,euw
Tissue1#EUW,challenger,500,35%,euw
G2 Hans Sama#12838,challenger,5,42%,euw
Theocacs#EUW,challenger,500,38%,euw
Navi SamD#2026,challenger,500,44%,euw
G2 Labrov#8085,challenger,5,38%,euw
SHJY#Lure,challenger,500,33%,euw
Patrick Jane#Tea,challenger,500,37%,euw
STREYITO#EUW,challenger,500,41%,euw
Azzapp#31415,challenger,500,37%,euw
Agurin#SKT,challenger,500,44%,euw
EINS seaz#0000,challenger,500,47%,euw
FEBIVEN#EUWW,challenger,5,35%,euw
Jonathan Bailey#zzz,challenger,5,48%,euw
NattyNatt#2005,challenger,500,49%,euw
he is god#71300,challenger,500,38%,euw
everafter#sorry,challenger,500,45%,euw
João#FREAK,challenger,500,41%,euw
Stendinho 10#lrd,challenger,500,44%,euw
goroncywir62#rank1,challenger,500,36%,euw
LR Rekkles#LRAT,challenger,5,41%,euw
fubgun#exile,challenger,500,49%,euw
Drututt#MAKS,challenger,500,44%,euw
Secret#6994,challenger,500,39%,euw
ESCIK#EU2,challenger,500,42%,euw
2026#KR11,challenger,500,38%,euw
B O O S H I#STAR,challenger,500,45%,euw
Michiel deRuyter#NLNLN,challenger,5,47%,euw
XnS#XnS,challenger,500,43%,euw
alvarooo#000,challenger,0,40%,euw
ismααα#EUW,challenger,500,42%,euw
Yakkey#PRIME,challenger,500,41%,euw
ObiDagsYTB#EUW,challenger,500,41%,euw
Po Gap#EUW,challenger,500,44%,euw
Lonely Silence#UPGRD,challenger,500,45%,euw
JONH DO#KISS,challenger,500,44%,euw
TwTv BZ EUW#INSHL,challenger,500,41%,euw
bedoes2115#SMOKI,challenger,500,43%,euw
Decay0#EUW,challenger,500,45%,euw
lpl dna#12103,challenger,500,44%,euw
wawek#malek,challenger,500,44%,euw
Soldier#0710,challenger,500,43%,euw
Cheburashka#Ace,challenger,500,47%,euw
Ekko the Neeko#EUW,challenger,500,45%,euw
AloisNL#EUW,challenger,5,46%,euw
ZYB CANYON#KR01,challenger,500,38%,euw
fiddleberg#rylai,challenger,500,43%,euw
raiko#KM10,challenger,500,42%,euw
Glorpmeister#Jenax,challenger,500,46%,euw
laabuk YouTube#0124,challenger,500,43%,euw
Shadow#EUW2,challenger,500,45%,euw
tukaan#tukan,challenger,500,43%,euw
Alex Consani#EUW3,challenger,5,42%,euw
Peak Level#444,challenger,444,43%,euw
twtv Six10lol#v222,challenger,500,40%,euw
TwTv LadicusVibe#Vayne,challenger,500,50%,euw
WizzAir#pilot,challenger,500,46%,euw
bro#han,challenger,500,42%,euw
jweithsro#jwei,challenger,500,45%,euw
Razørk Activoo#razzz,challenger,5,39%,euw
turkish taliyah#EUW,challenger,500,28%,euw
G2 Caps#1323,challenger,5,40%,euw
twtv Peng04#NMIXX,challenger,500,42%,euw
blitza weapon#EUW,challenger,500,44%,euw
xhtao#3100,challenger,500,42%,euw
HF OMON#FUEGO,challenger,500,44%,euw
Ginz#WRLD,challenger,500,40%,euw
Pun1sher Reborn#EUW,challenger,2,38%,euw
Phanta#107,challenger,2,,euw
Closer#kral,challenger,7,,euw
Dagestan#2or3,challenger,7,,euw
G2 BrokenBlade#1918,challenger,7,2%,euw
JOHN WICK#BRKN,challenger,2,,euw
RaiderGO#TWTV3,challenger,1,,euw
Kaori#EUW33,challenger,1,,euw
JG top boy#lync1,challenger,1,,euw
Expedition 28#0211,challenger,1,,euw
G2 SkewMond#3327,challenger,1,2%,euw
Expedition 28#BLACK,challenger,1,,euw
5imay#1409,challenger,1,,euw
2026erltemp0002#RIOT,challenger,1,,euw
GX Monkey#XDD,challenger,1,,euw
zwaker#T1WIN,challenger,1,,euw
眠いな#2323,challenger,1,7%,euw
Thayger#SOUL,challenger,1,,euw
Agurin#DND,challenger,1,,euw
 Nothing much#EUW,challenger,1,,euw
Left Hand#korea,challenger,1,,euw
2026erltemp0001#RIOT,challenger,1,,euw
indoor fish#EUW,challenger,1,,euw
Fawkes#4321,challenger,1,,euw
KC Yiken#1111,challenger,1,,euw
CHALL BTW#EUW,challenger,1,,euw
Odysseus#131,challenger,1,,euw
J1HUIV#000,challenger,1,,euw
Thumbs Down#4847,challenger,1,,euw
stardewvalley67#EUW,challenger,1,,euw
Numb#2036,challenger,1,,euw
MISA Way#MISA,challenger,1,,euw
Yami Sukehiro#3309,challenger,1,,euw
SMRADOCH ZICSSI#EUW,challenger,1,,euw
Tissue1#EUW,challenger,1,,euw
G2 Hans Sama#12838,challenger,1,2%,euw
Theocacs#EUW,challenger,1,,euw
Navi SamD#2026,challenger,1,,euw
G2 Labrov#8085,challenger,1,2%,euw
SHJY#Lure,challenger,1,,euw
Patrick Jane#Tea,challenger,1,,euw
STREYITO#EUW,challenger,1,,euw
Azzapp#31415,challenger,1,,euw
Agurin#SKT,challenger,1,,euw
EINS seaz#0000,challenger,1,,euw
FEBIVEN#EUWW,challenger,1,,euw
Jonathan Bailey#zzz,challenger,1,,euw
NattyNatt#2005,challenger,1,,euw
he is god#71300,challenger,1,,euw
everafter#sorry,challenger,1,,euw
João#FREAK,challenger,1,3%,euw
Stendinho 10#lrd,challenger,1,,euw
goroncywir62#rank1,challenger,1,,euw
LR Rekkles#LRAT,challenger,1,,euw
fubgun#exile,challenger,1,,euw
Drututt#MAKS,challenger,1,,euw
Secret#6994,challenger,1,,euw
ESCIK#EU2,challenger,1,,euw
2026#KR11,challenger,1,,euw
B O O S H I#STAR,challenger,1,,euw
Michiel deRuyter#NLNLN,challenger,1,,euw
XnS#XnS,challenger,1,,euw
alvarooo#000,challenger,1,,euw
ismααα#EUW,challenger,1,1%,euw
Yakkey#PRIME,challenger,1,,euw
ObiDagsYTB#EUW,challenger,1,,euw
Po Gap#EUW,challenger,1,,euw
Lonely Silence#UPGRD,challenger,1,,euw
JONH DO#KISS,challenger,1,,euw
TwTv BZ EUW#INSHL,challenger,1,,euw
bedoes2115#SMOKI,challenger,1,,euw
Decay0#EUW,challenger,1,,euw
lpl dna#12103,challenger,1,,euw
wawek#malek,challenger,1,,euw
Soldier#0710,challenger,1,,euw
Cheburashka#Ace,challenger,1,,euw
Ekko the Neeko#EUW,challenger,1,,euw
AloisNL#EUW,challenger,1,,euw
ZYB CANYON#KR01,challenger,1,,euw
fiddleberg#rylai,challenger,1,,euw
raiko#KM10,challenger,1,,euw
Glorpmeister#Jenax,challenger,1,,euw
laabuk YouTube#0124,challenger,1,,euw
Shadow#EUW2,challenger,1,,euw
tukaan#tukan,challenger,1,,euw
Alex Consani#EUW3,challenger,1,,euw
Peak Level#444,challenger,1,,euw
twtv Six10lol#v222,challenger,1,,euw
TwTv LadicusVibe#Vayne,challenger,1,,euw
WizzAir#pilot,challenger,1,,euw
bro#han,challenger,1,,euw
jweithsro#jwei,challenger,1,,euw
Razørk Activoo#razzz,challenger,1,3%,euw
turkish taliyah#EUW,challenger,1,,euw
G2 Caps#1323,challenger,1,2%,euw
twtv Peng04#NMIXX,challenger,1,,euw
blitza weapon#EUW,challenger,1,,euw
xhtao#3100,challenger,1,,euw
HF OMON#FUEGO,challenger,1,,euw
Ginz#WRLD,challenger,1,,euw
Elite500#E500,challenger,500,,euw
KED1111111#1310,challenger,500,47%,euw
KC NEXT ADKING#EUW,challenger,5,43%,euw
So life goes on#Aimer,challenger,500,38%,euw
marlοn#EUW,challenger,500,43%,euw
Foutriquet#FOU,challenger,500,42%,euw
XYZ#m1a,challenger,500,41%,euw
Fishhero1#Fizz,challenger,500,44%,euw
SlayderW#EUWW,challenger,500,40%,euw
happy game#qwer,challenger,500,36%,euw
SU ZYZZ#0311,challenger,500,41%,euw
Right Hand#korea,challenger,500,42%,euw
Sinerias#EUW,challenger,500,40%,euw
John Cena#19634,challenger,500,43%,euw
zzzzzzzzzzzz#1158,challenger,500,46%,euw
DubstepFly7331#5326,challenger,500,41%,euw
Kaboom#EUW1a,challenger,500,46%,euw
IWILLMAKEIT1#2509,challenger,5,46%,euw
VIT Fleshy#EU1,challenger,500,45%,euw
노즈2케이#2210,challenger,500,46%,euw
Felony For Abuse#EUW,challenger,500,100%,euw
ALBANIAN#iLevi,challenger,500,41%,euw
Acheron IX#K405,challenger,500,43%,euw
chenzelot#LOT,challenger,500,43%,euw
Kitanø#EUW,challenger,500,42%,euw
JırenMid#EUW,challenger,500,44%,euw
Maxibillion#PGS,challenger,500,37%,euw
NOTH#Sus,challenger,500,41%,euw
nvid#4PIGS,challenger,500,39%,euw
Hallohihi#EUW,challenger,500,40%,euw
HARPOON#goat,challenger,500,43%,euw
NAAYIL#S67,challenger,500,38%,euw
skygge kriger#EUV,challenger,500,47%,euw
Qin Shi Huang#Hăo49,challenger,500,45%,euw
OLEG INSEC#OLEG,challenger,500,46%,euw
iphelia#123,challenger,123,43%,euw
TheSpiralKnight#EUW,challenger,500,43%,euw
maciek11#joker,challenger,500,46%,euw
DesperateNasus#TWTV,challenger,500,44%,euw
The Oogster#DV1,challenger,500,46%,euw
snKarma#EUW,challenger,500,39%,euw
Targamas#5555,challenger,5,41%,euw
HRTS MIDKING#HRTS,challenger,500,48%,euw
Curling Captain#EUW,challenger,5,44%,euw
Yen is my Wife#EUW,challenger,500,44%,euw
Rhobalas Booster#SAD,challenger,500,46%,euw
Spoodersussi#1352,challenger,500,44%,euw
fallen angel#fox,challenger,500,45%,euw
Ryuk#adc,challenger,500,48%,euw
Queen#Zoe,challenger,500,43%,euw
Madres Enjoyer#MILK,challenger,5,47%,euw
Daddygun#EUW,challenger,500,44%,euw
euphoria#shoo,challenger,500,38%,euw
Red block#999,challenger,999,41%,euw
Heroic#Herc,challenger,500,48%,euw
eLS Louis#atlas,challenger,500,45%,euw
