puuid,summoner_name,tier,region
XmZwDT4i2wGBk_165l47KZBRDlNiOygC1Xoy2H9LNKf92XNiD3MiUD07lcwQFzkw92v4ekAV7-K8ew,Quedoxyde#EUW,Bronze,EUW1
p8unbf5u6yVaHiXvwtidfhf5uI7G9nuy6uQsW62Xc2b15QyC49wML6sUUdtrgI22DOBdekH53jfZDg,theBoxi#6656,Bronze,EUW1
IXq0Sfwd7NCc7azArizN-m0uGW_gr8vm9kLJFsVFL2VGWqaJkol1PsdezfnydC51ypN7icyevABwxQ,Jetstream Sam#42069,Bronze,EUW1
Vavvkf-hXWXnD9uCWoyRKHZJ-rK1QzPpQgkFLZzbapyFU0elHJ5woTWodgSTzT3Z8QhYGUrmQO4mrQ,EcooE#EUW,Bronze,EUW1
Zuis8aJ0ZKf5a3SEOjppoUAI7VecSS9irGvT_JeaxYaB1u0c3tA7zdKU_Xjr8blCUWj5TJfrtiE_Xw,Tristouf#EUW,Bronze,EUW1
U3UfDSUvIwF-yffqt_1ScKGs_Rh_p2SrM0satnoA1sE7pHFBySwiKIDbZ75g4J1CVS_rktqHZP5xfA,jjor#EUW,Bronze,EUW1
SXq5Vbx1mVPfEdc5Q6OobByoDRuEL7Nuduk8rSXWXhqrD2nsNyD2SS1V_Z389l3P7-8uclxaj-3eEw,NEMER#1860,Bronze,EUW1
vDhOqfrgJCWXnd0h5ryeqRTM5a5zDvOHpdrtj4Qxcaz4s6daUPDBvU8t0ZFzx0XsKbhXOHTKlzEgxA,Kalekukhra#Bhaat,Bronze,EUW1
jp9qVCLR1pPhBeGIcMtCCFyOKs4DT5cEkf0G0ROJNQ2PbfXPOl3EXoW8ejqeWh0oJ9yp8GEUrufGtQ,Asperge Molle#EUW,Bronze,EUW1
Yw3EzqKzu7hL1wfMZg5lilZaF7iUgW5GprCmXlP1dyN3S8nJKYayFfdQG3poJc20d9vGEd0Y56eaeQ,DarckDead57#EUW,Bronze,EUW1
YpL_g5BSJ3gQgpPhbq8kbcdV3CyhR9DY7RNIteenwB-cWqfVj76DO3QPgJd6bplFNkWINk2sav2-Ug,kahmlot#EUW,Bronze,EUW1
-oPffvGlOkQSwoJz2TL-AOouDt4L3TivuJy6oMcdY15MugUNBqJyhot9_QiFTeQ5FiWxQK4IAjAVEQ,LifeIsMotion#777,Bronze,EUW1
TIzhOwol-fCtEe96sBswKfgSMvv_i77mzPO-NaCFiGFhXIHhvXmuAbuIPGCYkRGo0k9eHYMkA1lJ_A,More21#9806,Bronze,EUW1
lpw9mb2R3Ixfm2CbJkAHXO2h7nJPXrA7PrfvZXlnnftCuk4uHtx0ONFuXtl98guwSSNtRzFiRf_6Yg,Dwayne J#Rock,Bronze,EUW1
oWokDqmMvQMeTJqTKK-DHkCULW6RnB_p2F5pC0RymFLspzwgKSzGYnF3zjBktHPF__GXVpUZj8iLuQ,TheodoreBagwell#fox,Bronze,EUW1
