puuid,summoner_name,tier,region
rCmI-dT1AZHDJ3J3z06hKTSWrnnLQjg_decPOj9CLeRCIGKoGd6fTlkTExj8lD1oBZx7jNcYU_KAEg,Pun1sher Reborn#EUW,Challenger,EUW1
2IeZMpFLZdHkY4Suw-D7rQPKe-3QNzJ35F_LvqbFeOr3CLiySJ2ODzz91noBgI0XfrxyqqHPC7qRsw,Phanta#107,Challenger,EUW1
k64glHl5bk0rt9kZMA1guEGosJryAGTY29BVWEDBl7jEP2bdll8UQ7aggKOd18Uo20xQZ49LKOuQuQ,Closer#kral,Challenger,EUW1
TVZ6AI3b_0bqt12hp_g2yEUuOxqOKOkoeAKqLKPTSHj8AjxlRXCN6vGYK3OvAHCImbt6MWfvHBkmIg,Dagestan#2or3,Challenger,EUW1
HFf0SgNuPqSk87x5ByMPSa92_0kgPoGH4nCxRQGCKGSEljMcxeQVvQMcCDj_W6KUgG0ZJSgvoKTklA,G2 BrokenBlade#1918,Challenger,EUW1
WqZ0aO1b1G7GOLsKRuUEHyBzB7dRkgCZPS3fHjPjnPy4jOenW0uzKCi6-usyOYGy5XFLYGRX9XB9cQ,RaiderGO#TWTV3,Challenger,EUW1
J7-fa_j7VEuMhDkSUwYGfzUnyl9jVT5tuJRfqzOTEh90TnZmcKv2b82WG9m6EhTYJdaUCeVpPm8TcA,Kaori#EUW33,Challenger,EUW1
HQOpFfiKM9Z4ymBFQX4rT1LvUAP2BRvuIKtK2Ih-OueVZhsj_aoonUqaRjN1czs1FkOfVgA7YmfzTg,JG top boy#lync1,Challenger,EUW1
_32vU8QtsxhNCznXq1NzWWpov-lFzMAnIBqkrwA-ElDBqMb06Zm9XEOwCC4sJ7_ftpPSAbFViZ4FZw,Expedition 28#0211,Challenger,EUW1
p1-UKmSIMp8as1RuRtgNSXW_Azyz_MUOQck4D3UqNSphjR0d6X59cEoPKAOzbI_QtfwuBT83JCg2Cg,G2 SkewMond#3327,Challenger,EUW1
jAWqkw_9Exb1I23FnG_URrTjVr12J0Qr7FFFRekmYI2BzO6CT4j0sz5_EPXV9MLmGW4FK9e0w-89OQ,Expedition 28#BLACK,Challenger,EUW1
