puuid,summoner_name,tier,region
gfiHXgEo4wE0I19xjfE5lO56KNyjrGeBwRL9Qy1El14vStLC-TAu_RVL-B_kAcLhQjpH8bfqOzdGzg,Ayoubaby#EUW,Diamond,EUW1
3Z-4HOWVZK6590Y7Xme0gAVvnd9ccrBk_q4ipVjTdVbC1huzvwGbubB0yFA5EjQ0O8SUP7CFiZbyzw,16            29#16 29,Diamond,EUW1
07W9rnzd6T2iqSma_SVuM6WJEUCPxge5NNmL3fyPrQxI0a5lVFi748TCLNPXW4_GlhYewIFGoON2GQ,Rweli#LEAFO,Diamond,EUW1
TNbkmO2mWf6H6yVurWRvBccFG8Dqh14NO0_TsiFbYjCVn8tJt3_nmcJcrOUefJYnMz8q6BOhfXRbsw,Simon Petrikov#ICE1,Diamond,EUW1
YJJ1i2RiL1tMxlRURzKxLLPZ3zjn-ETUmmZHYDFV-BmCO1YQyKp0jUk6IUe3AD6cKHXRrdS5oAkt4g,hydrenoiire#EUW,Diamond,EUW1
mxGhUprkcoa1O34JpbS87I6HrGOaDmH8nyJUxbjKRXMDPOAs18_cLqkbd6JSKVmiZ_TUvPOtN4O9_w,Travail Ö Black#EUW,Diamond,EUW1
XCLxNt3nCzkXhVmV4H2TV7bY2RJzyyi2q3FQCxRJMKTfOIby76KbkfwbNQzn81_kawJZVsdYkDEIPA,IM LEARNING#KEEP,Diamond,EUW1
RNqZmV4YPiNow8x9kq2tUZcJEgCfmpQXdlrqUifUmfhW2mnKseFgPVyncc1LaRQYBjiYqhOcUUztVQ,Ata D Macia#NIKA,Diamond,EUW1
ZyRNZUlf6b35s-PU2eZzXLl1irpEjowk0sr03IcAX3DOlTFiZjGnjp565jMrLODfcU2zTUKbVPWEHA,MisøgynistMaster#Misø,Diamond,EUW1
n083oXbh5vr7I0hkcoMM2RFBcDJ9BFk0w4dZieq7CNDc0m8AxLYPNyCY51YSL3FxgepqPgiwm4NXEw,Valams#EUW,Diamond,EUW1
9JwLE_3U0nK7m0L1n3dPviPwEYdHZfh_yezzUl7w5D2eOwEAa7KcLREydr84vzPzXatUBaVnXcz5Bw,Mandarìn#Gazoo,Diamond,EUW1
vmMS6zI9KQZ0KBdJRrjDac73HB8ek5Mj4XJ0Iv-jYWfXw2wNU0eNXJXfTY6SYc9-5M0n3WCPTZzrww,Rykyu#EUW,Diamond,EUW1
