puuid,summoner_name,tier,region
A_F8mtfcYn43a0X3dCpLjn1CYsBOzRepbITxFMcZo0MCKkG52M-xmuizoYnQciUlYgwgqP9TaP0qCw,Narthoq#EUW,Emerald,EUW1
woDFlVtk3HVP065ses_GyYvhKDePMDW60aO5dAETAcgij5KwP8YQyV19fSJ0ZOqLTBvxxl65YDgIYw,Crown#euw59,Emerald,EUW1
DOwH1H8Y6TZVc5IG_BHJbo_U2yChaj6teaRAyXjqxUocSVZrGG2GRQE6crEgKlt3iYgpDU8ixa4cmQ,Papierjunge#AWW,Emerald,EUW1
RpiNOuLTdREmU-YbfKsuXFV6FUqeFGOZub9ccsNlvKIOYseUtJRMCHHTk_4ezuXY87P4O-vG5o0srA,RA Flamiror#EUW,Emerald,EUW1
RqW-53ivzmI5h7Tu3QaDZ0tcgxocN2qAGxKzRRYgu94LTRVlV4ftTsTWj2xTbtkpD8XOZfA-XNpiAQ,KING TO ZAC#EUW,Emerald,EUW1
it6uKG_2_rSAa0RmlcF69Px_P3kvLHi6dQmeGHwjZVzm07jkS4RrM2KNKVF1kujpWmxO7vK7LKzL8g,CosmicSnipa#EUW,Emerald,EUW1
Unb3Qu1WqitXmPuqUADiP3TfjWAaRV5x_AZrz1IvwZpJve1OflPtD8O5qyyRt6E0fiGQPQ1bkrcN9w,CloudedAlex#EUW,Emerald,EUW1
MBgCxvXIy678F6lNx1Qc9GID6KcCpg8t_f2QiJKLWmQXUFkgoIx9wo5m_ZzA8b_zO8YS-OidQLSgow,Goupix#2773,Emerald,EUW1
GmeN0gC_aRhPL1pIMKggF88Kc97Qstg05WF0czoODzfkTCvRahunqp0QlXCbZXARa3PjZ8brtJJdmQ,tu21#221,Emerald,EUW1
PhYBgr1lpNeKfG_m_9MRP04p-eXUivr6gNCJhAzTH8NCCXHLvsvLHXMbEKV0swdBBcTMHZ1EWLcWng,Morgenstjerne#666,Emerald,EUW1
4P9pIKPlyKlWnvcmTpC-G9ZDHTaUHPqTQfY_edl9UlipXe9XWNF5op70uHG3wT9SDXyvvKlOSLiNGw,Sâwyer1#123,Emerald,EUW1
5tuOSwbxT3oKlvWEuClY4PSFk7oAxlWbqQydFNp-x8SPVdhW7m8-AfZwA6Jw8E_Bcl6s4rrDMj-PDg,Yone se#EUW,Emerald,EUW1
vo-Mps8ocU7VbgtFdD8RAQFrxk3z8TH604CUs7RQAw0k6LqDG71aXA3MQgFYC0X7Vfz3bNdmPHs8ew,César#GOATS,Emerald,EUW1
