puuid,summoner_name,tier,region
_P4-C02pnKzNRbzwb1Lt1BeG2TSCL04Ri6DsGs7Y6fNiJKFmXf-YJkZGmYzfihKumytniH3XPLEGHw,IBark4hotWomen#uwu,Gold,EUW1
ro889jJaXe0g_3IYZR63fF8-Zg0N3Cft0erQqfnAf_zg5jGTY6697U-Ck6zq4bQPrxcdS45PKE5kLg,Smiley#69696,Gold,EUW1
-uDZJRciO-rCAlAu-hjUnJOqexXXr8EBZKxtZ_3orHwrLmSNHZj2g65c-aTV2ZD9OgN8LJ4wENoykQ,Somali Bakery#EUW,Gold,EUW1
lddMYaim1z_s9J-uSY2BDXbZGEqfLRj-4PVY-ZLKFpujSq8pWb6ijkdTmMgJt4KTTRrWS_hvn2-bLA,Han Solo kiu#EUW,Gold,EUW1
mIvUCP7FoT-VW7YnlbsQHf5exoJVfGIoojgjb76WIDRhILdy-L-TyOxX3B1DqYxWLhCVcEcKfAtuAA,Piplup#Diff,Gold,EUW1
--Q9WQ05YADeEIfiAc0WdFxj2W9jOB857MvtetaDh6uy1ZskLJ-3Gr9ff4XtLfqQ2i3NGoGuOjJkWQ,Dr Hakunamatata#EUW,Gold,EUW1
a-f1Y9oG-UgAZSNHdV64tvX8a1zl7aX5fEffMdUuPS1YIX3DlXNT5RN3kU1Q9LPxUsXjJjA37Ttwmw,ShinobiExecution#EUW,Gold,EUW1
p1xAmtDzy4OyboJZEY91jk90iOSVphlDzXozrc-grjO0EUAIa1dktKgq_6whV_i4u682dCB2deEr-Q,16rango61#RANGO,Gold,EUW1
n-Dbt1nINKAS1DcB1C1vL5Xy45gG7laVCudUcGvQWI0sB9SDWm33QXYuQB06dEV-N3oll-8yt1Jn7w,Toni#WToni,Gold,EUW1
gXiyiWDZujPkUkJxd_bDd8r_eTFxxmClPdm0Zl1wiIScCIBNhmHWd1ZqtkAq1QM9CUtE-CdAYzGY2A,spareribskonhulo#161O,Gold,EUW1
lp9L5gCPmhUStG0ZS6sJjjJtG-lbg2OVcO1tkHMzItKIEcl1aDQGwS7i2U1v-B5x99TF4zGPYaZecw,Lil Ruler#KRR,Gold,EUW1
A-nXFyqugzjVY9yg8GxGJRKGr69ONghkhBkgblH_XxgWx-43_TH8Ug54M8SO7rwyuVJDjQiSKsJc4A,WuriWürger#EUW,Gold,EUW1
cQCdjcKbRnJ0veYy5TmctQ-sZ-dRqXbi7A1RoZhk1ZPHLKNB_TCgNxuhHMRAzfsq6vFDBFysTP6MeQ,Marmeladtagg#EUW,Gold,EUW1
4OvA6_ATo5Cc6QN2wcL4h16ds_0jTNKwPmh9QZmu0p7xh1nTn0jSmO-yh7mBY4Z2noVVGiiiwsWu4g,El John Key#EUW,Gold,EUW1
QWCqjNR7lvrURWWxvWGDpjgTlnofvT9Ni9d9ppceBKvUFFg65gIuPmvtMN50nTRGiZINQPuw9REzJg,Proper Chad#EUW,Gold,EUW1
ienyCo7usARkUnGl7QTUhTuud8Du3qLiay3u5fmJ9vb09DQmjuP5SBmJLXhChlWdueGCjEY193SVPw,King Of Curses#ZKX,Gold,EUW1
DGr-vNacJUHMfOEMgMQ8J-PzA63QQYKcukNiUTxpFpZYUUqzcQ2c64rOmpyZ0nUr27TpnMMVPud-Hg,Soundry#EUW,Gold,EUW1
HLdtO1IKoW-m9Y0p-g-s8yJgUU4t_iVmupdmPJFl0JCtTTUJTyZEFcofPRf1F5hxGG281cZ8bH_fAQ,MrOber#EUW,Gold,EUW1
Hob0HARRNEYYVErX04cL3RoTk4Gne4riP6m5O8h95I_nvsulsMlwgA_HzYZmAdt7LCijBIfERY-XNQ,ORLD Freezer#EUW,Gold,EUW1
WIaAEHeBComo6a56AiaAuRmXMwHZ0op84JI0TVb0kjmrM-U8TxI_9HadNIJ7a-II_xhzJ16_fHE1ZQ,Im Pobe#EUW,Gold,EUW1
ZuNaHdiSd8XmL0a9nVkr246-HTubRs_TJaqPJkB8y0Dy44z_3NqM1iUNlob0FSKXajQoyyLX13DKxw,xZabracx#EUW,Gold,EUW1
fiAo7sHzsQQAQrX6VM3scBZVJLZzJKJkPAmNBLQsxf7BBSRlHd0oRJFgkCs5csGmXXWYaiSlZTCHmA,Permacomo#kekw,Gold,EUW1
37vettg-3-J3G3BBw9EF30uhOgZGfkN68RG6jYQIZX11z1f9cuw-UbyWFK6106gGe6k4LMcU7PoZbw,Kushin#Kuram,Gold,EUW1
qGq0xxKQt_nbdaAks_aXy3g_YX1fM1jvzHNGpepeFZqmbqk3Pww-pNApvdUrq22mcl8L_yuVsU__xg,Ganked by Milf#1747,Gold,EUW1
-20zfEu2Jf0xpggy2sdi1ncVNZZgrPcSeBX6mNRZBRcMJSI3IChq-lmV6BEAXNINXzejk0kubLdGeA,Hectaria fanboy#SEN,Gold,EUW1
jk2umZiIe-L__tWIgS8WMPLKnZG3NG_O_7PKdCexMZl-ye5hzZCx6LLpUyprXkfz1y1q2wd5l--ItA,Kiéros#7422,Gold,EUW1
ua9acF_sw4Su-lQPr54kF6qBTyMB1n2-8838snU7CRgf8s-aifePpTpZifcbGVywF8bEfb-EeJ8H3w,ValyrianShíeld#EUW,Gold,EUW1
M_aTasbaFDZGrD0wWQBIbiFJ-JcNheFAON5WV0Tlge6kM80xnc3Fpc5fi2RpcYHWoqXbUUMbb4RJQQ,MyNeighborJotaro#EUW,Gold,EUW1
p25uLuaJEIk6PnkzY2r8SGtrr3ZWk2GJBrVWd9yy3PCSPyd_M8hct0mhSGg-_f2vtKSDO3DEmDJzYg,Baberger#EUW,Gold,EUW1
Cla0SfJb08NZIo0uEpj_e2gDb-PaHLPsyI9jDDUDgnBayCt2ZukhqWRP4q1TD93nWQTRRVl3pU8fOQ,FS Spartan#EUW,Gold,EUW1
MrmZnBWjKaL1kVAnCoNl6i2-r1ylphFmW2PrrDEZIuHt-T9VxMQBBV3NHYWq9AtYFOCmGQGa3u0WHQ,noweah#EUW,Gold,EUW1
RgLx-y3VGiG8sdbecE4mNAF0-uw8AzA2pZlHys2B_0G_hNLevni1oLZrlx8-NAF-0t7yDWmJX1WEcQ,KalleAusKieI#EUW,Gold,EUW1
5UT7rGSQxyInfR8B5cok98TGWPaQ7AlD6UbkujeA2qJTPcojgJVgJS2I9hoJz6lfYFI1HCOFxXtoBQ,gadou78#130,Gold,EUW1
6HdUjS0DAPjT9mUGs4PvN0eDfBXdPKdy8KV-oz5Er-QMZFGcyb3qfvx8V44BMiCSopUCQjGIqQqoAg,Pamak zoo#EUW,Gold,EUW1
