puuid,summoner_name,tier,region
owFgtG9b5FCHvCDir0j3ekc1hqMF1KHnqOx-vsp8ioxKkpNtXLIhzh69FS_fIH9NXkY78OtTb8COwA,mimish1#G0D,Master,EUW1
fsOmY-N5rM5ZLt-2VRaTq7g-wldmqQ8aSRmSdsaYRfVb0bycEoimW4JUSebAjm96GwH7q_HejaiaoQ,SatØrius#EUW,Master,EUW1
myv_hN69WouLmMg4hCdR0RM_6ab3N6NccTgZ1e9SAlZsJKXeuhvOzEe40guw1oBuqb3feuImQk1fGw,고트 에킨#144,Master,EUW1
Yzfhb2HbysXdeipigrhX16DsBhH2HfyZta3fGLzK_2uTpN6lulESTTDYO28qLF6A0wf19J6OJVna5g,FO3SAKD3K3TO0530#EUW,Master,EUW1
Sa6wru5Q-uceKPwWDxVV3kPDOhiqpaaZ4rfSWBzgGP6SsYnbtEWZMYXelI0-kRm1LMzitLJYIYeE_g,Xaragonas#EUW,Master,EUW1
cGpw63hS9LZ7FMb3nvLj4Y0H7N5zR0W2V0H2Lnbs8fNczS3xrVG815t5VyYL_V2rW5J2aN0FfxcLrA,Iivo#Iivo,Master,EUW1
dDN3IiiEmehkMfXL8oSq3LrtF06_huzDRiipn_YKBldWse1FEtP9FE46to-YlfN3VHnBt1a9ELardg,Abner#EUW0,Master,EUW1
pnQhcQb-rAM3Ic1ClKqcc_Z1bdVty4t26xxFKtOlyuqfpgnILyn79AouF1ERJzdnuUcmEDw_wvAqgw,OBK#EUW,Master,EUW1
2DPFuFJ8bjRlv-pk25QXWRMcCwmaCPUpmJNzgubNSsHMYH6313q6Fv1r8cB4rMA6isvHvvr9TFx4-A,The Grinch#2000,Master,EUW1
e5ySiZ-2fZ3PiYIedDkzGeRF7jZ_6LrlPD1FHc2n2pqP58QiH5lpzuoBVhlI4YQreXQVtkLNhAIvRg,Ran Texhnolyze#angel,Master,EUW1
2vnZcK2V43RT_I7jV5Nr87b2-p4Jf60nZ6srEv1eVWK9Q1izwbJP4ZB4UopvN0Z8YoBXPC1MSrdpsg,the days i lie#fear,Master,EUW1
1mSK9_Kzq0anpkArxdZe7aXBNRLqXlIqT9rQlIMToMCPRBix_iY9vp5cwK5MNX_JVTb8vOlFr3S02A,Chill1000#larry,Master,EUW1
0gItWd9MwKsU-AtoGOGsafgQXA1ZUNCGH4vwnLtxuYZSZaEE1Kw4025xYHkYkUiSm9k2jPx7S7SQqg,KiRKADELL67#EPSTN,Master,EUW1
eRkigKt_WKk2qIAnolMDOjb5ZVO_IL6jtHxbgXzWMbWqfsiOEtyHqyZeFrj6bPSPfxNLaXd7xpZv2Q,2eveu#CNNO1,Master,EUW1
5kfmq7uMt6SoLkcdf2D2CryhbrgmWc8i9upwqoQG_KRBhSrdvv2YtU5MHUZMpqAw2XL3tvlTd87omQ,Coach Looca#Coach,Master,EUW1
UfViBjUB5KAAfWJgMGc-Gx4fM3ry0A9GUEM26DH_Mx_XV4staguCBAtvkSf5SlFeeNnNXE8ks0WwMQ,CR7#Time,Master,EUW1
ZZfm74nXE-NiRs4DPNV3pa3WFRGlnLwaIS6OqjrJO19zPWalouGi9nmNVHnqf0DafoFg2vkH2ar7aw,SOGEKING#EUW11,Master,EUW1
AVUfIX4Pwx4-tpEyHAXzx9TQkTZvYiKidhv7b8BpS5OqCOBgCbXuhE9uVTV6zyFIArNMahKMenPVMA,SunTzu#hidon,Master,EUW1
Q6eOuMOdnSvzD9qjATxL_HDR-yGwPGL0E2368g9F54M7ZKPwiMeZjwyGpnJOs0zskHgFrmHnz3XYhw,Chicken Invader#77777,Master,EUW1
TMTwE6LZvXowl8Wa7shEEfhx4CeOH43wMdOOT5pSLhp-O057A8iwb5pwYasn3Yr1MMQpVkPvYIEZyQ,JGKRAL#Vixen,Master,EUW1
5CLRr9ocWQb-PgLslkihOCRQsl9W7VWatSNgl-HxjK9DzQnvWZvVz1f3s-JeEZzbk-QlJWfk2JAAhQ,SANSARSALVO22#BABA,Master,EUW1
HBHHNxrnR3sIeHOl-Zwc1evEDUbaDvbe5Cd1YQgy1YlgT3Gj6kdAavgjIbEPHwLWS40FNWe-4TCflA,DoTeX#EUW,Master,EUW1
U1Un9Nsg8lqh6hdPP8bkGqTdQbU7pcyEOTDr2xuUfRhcDYOiphVruY_dmrxKO0r30osxwNkrcptXkw,not there yet#FPA,Master,EUW1
Gsn0iyBTW8smOIOmmTEs9mCu5IlPrJm-q3MEtXg0UbBoq6qbZs9jpCLKiYU4Fb0uv0X_gjNxUXQclg,Lilipp#mute,Master,EUW1
O6YzdahZlbajaoxMRowL07qM7Oqk8AicEeX3F14gERBHSGgCaQKEvHsY4TAHgLXj7t7tjkjUrhuG4w,Artix von#12345,Master,EUW1
5xg_0tuTx5-LwEZPNhVZSy1iLDybuNzV_fQwRUePWibUmqLcC_TKwwczTOVRH-zUVBNJ6HEcr_YJFw,Shourdy#EUW,Master,EUW1
yBbmF-WjWsN9X7F94YrKKyQY64u6yZAmS1QbsGYCdIiPw24_5U5euGWl9Qp0Wu9xu5yxZCfTz1_wMA,wao#0000,Master,EUW1
LblRx2gduqLlA12AZ_EPtFKQkDkMSgFiHCWbMtA7mK1UMy8rw79FH5St_ctm7q6YCFIJt3kD1QvbFg,Sakuryhu#saku,Master,EUW1
cP6Pj31vsIzuCIjIiEuUWb40wmTdPJDURrgzQITQT0Ppvgv2jX4R7ksBznNArnTxzDXflltlYTXIcA,betrayal#Ιv9,Master,EUW1
DVULIsumae2F__pSWSz0S3EjTV_J5UFFEIM_quUyOfdX0AeL9_2ugP00sUoh0pvlOrDxXMSnfcR05w,Gonzo#2843,Master,EUW1
VTLfTTEGT1VxH3N8vblI07v57jzpRXQns-IjrEKGBI5FVwVNiyGCkWHLXc3jBR5pI-8gL1uA82wKCg,SEL0#EUW,Master,EUW1
Re-No74Z5yQXUrFxrP1VdqmfupMcNsiU0IXWTUvrF-ujs2LRnHowftlVf6mfIfLPe6wVyIiDJ3lWyg,Composites#EUW,Master,EUW1
gXyjG4ljpoaaoE0gf67SYZn1MeV2Nqq-gKdE287pTX1M3zGLSUyb2_nrLbXTsSBlJgkl8FvlHeM3CQ,haribo#7608,Master,EUW1
83WqsDnH2eRtpuekSh-a0hCY_glPZQWU2QaXtuKsMm475vzVSYFYx36wJue9KXRu1HFr9OmMP-bPFA,Jamie#EUW2,Master,EUW1
kSqcKoPqMFgXGYF6P9LkvbqOHy9XRWdQz-zZS2tMobX61aNdSPj14B89J5S6pF7JXkYncDRnPxrb7A,Koby Falks#KEK,Master,EUW1
iL6ZCoKUzhbSLY4GlpoS0WW8yUk2OeJfiXVcJ7_lOsgxu_NwXcpFe0J02pn4QtkVI6Byvr8yAUUebw,aram hesabı#EUW,Master,EUW1
g9QuafkOu4fFvrS6O6X5veo1sDv15FGfFSy-nvIsDdJQPMpnPRIfUef-n1DYEDQPqH4Lm_WI9Nla5w,kagune#5623,Master,EUW1
gYBNusvzWfDYDJLGBLGhvktbwV9gPoqkHuqVDBWT09_JkJU2nmh8XM3mM5FyHbTEwA-9RaH3FaMFNg,FullClearUwUka#WORST,Master,EUW1
qUM7vSxtqBXlpsy4pmpG_-aUXA-f-xuOSQBTP_T6oQlmS9U6iTYQtqyCBAwC8_1M2hdMEPiQXme3QQ,Alessio#ADC,Master,EUW1
ru3AL9ClAYCSGe8gcRkuQuQHi4fo1ENmFOqJXni8EtmSBr45Pn3vKoX9QUYXJCsG3ulX3DL_5dp10A,Brevitate Vitae#EUW,Master,EUW1
jBvnCYuGvId2qPydKLP95c7A6hkxjNACW3VgSoPygY7PytZ75Y_jM9qqzuaGZsuR73S3TDzs_Pld1g,Dealersz#EUW,Master,EUW1
