puuid,summoner_name,tier,region
lORFiQwTi0sjBXeIjhYZ_tw7VUxVkAwu5aKtbIenmItshPbn6H9tzZVJ0j-MRtoYCLkybwK11ysIDA,sm3x#EUW,Iron,EUW1
ddDfyiApiiFMsgHPpPenl4FuOXx95NrlSQZKRNSuLukUjpza49Bk-DmKt507GqyXDpv1EgHkdT81Rg,TarnishedOne#2007,Iron,EUW1
Puwn877u8OL8g6vHhCQuvRTAy2FgrlafCJ7qWgu3oXeAYwlqMVVg2E9Sv6z6IPW_REV5qegrCTEfHA,Wishaman#EUW,Iron,EUW1
SQfGh3HQ9C1hpSP8K7g8seeNh1O-wGvVBmsvt1TJE1swC1CgLCvQsvgO71dN-mAcmRGd8p4FrNXtkQ,Slash71#barra,Iron,EUW1
pf1Lpp_XK285tDnijWgiIlgrheS0fFjFjrJfr0T369xxfz2KtTBu0KPEpIDKOE6BKHzT8BvD4BY_Bg,BabyBoy#1013,Iron,EUW1
bKDKIK2TmKaRDNg5fHh-DD8GHevvxYTD9fFY7USQ9YPMIhufIHLodI1rKA_qeJbVYKgCmpwkg7d4xA,Counter34#EUW,Iron,EUW1
puA2FE4Hfg2zgRKElWpgVnAy0tjK_lXQEQG16ir2k88yHtRARKTe7sOBMtcIEH_IbNdcQ-8Lt-vRRw,BillyCorgan PT#EUW,Iron,EUW1
iS__EHtZALDHYYZIww3XEgniLp-8wxA5viuBoTzZAnwdDzATR0sreKrLXUx0OZxjZdx27qS_dUnqYg,DaddyZac#uwu,Iron,EUW1
pekptwDr58Wrp2SBKMQXM8FLTOgQthtpFf_Q6t7wKYOcg-Xz75YfqQZ3rz5g209C8uH3kJ74SGSdcg,CaptainMagma#SBK,Iron,EUW1
o5yBY-_Xn-SfMSbfRK50MISA-gH3pFtHFrpGyvp3Z2LXf5TA6OysQlz_4AHNQyxMrjS3SU288sclXQ,Uplift#Shuck,Iron,EUW1
AXADEX8f9T71IZ0cJOgAJ_q2GW2JHZzYV-RgZi3rN_P_tj9fYP_xUUzuWNjo2QvD-iesR2dfUg-4Ig,zazar79#you,Iron,EUW1
