puuid,summoner_name,tier,region
G5KMHaDijfWlI8QEGzJDKVA_DD2hMGuwRZS7tQdIPZ2KU09bRmod8-I23seL2ZWyQnXsivaDpk2W0Q,Pekken#kant,Master,EUW1
uqGM3SNig6EUHZx9Q7konmmHPcZAI9ShMRn3do-28o5hgjgmURUD3_9P5mnGqKSABnZ-2D3jBPf8AA,Iblis#404,Master,EUW1
fkFbNFhiNWUFbfjzOKZfaZGUplkbnOimqz4nYE421NLAz34rZeyPVKc2-XgD65Xhr3oZAK1fsMBvVQ,amedow#EUW22,Master,EUW1
_DlERZVScn8_59i2Y0BxU3zTTqvSpP8TZR5mSQBVmgN0FlecfT6QILPm6M-AlKaDWkiMQmhYWX3_Aw,Frank Lundy#AGENT,Master,EUW1
uX4RuVXf4cKWTWZHxbL25SJeFuKLvCWPtfQIdiaBWy7A8uJxJ2P8VtQuQDhQbFaJAHXrMSDbaQkiPA,sans emploi#EUW,Master,EUW1
C4EkNPLQuogrQGAaXA2bcOoyyfMkkXC4mQYVpOyh3lGa74kdbJgQwc1lkP90UB_hQhsxSW5WQlw1AQ,Nypreax#EUW,Master,EUW1
eVje5zv1fL6OU8eS_XQOUzoQArlfG-x788U4h0fuenAeUWmru1a-F3-W-EC5WO9bJJgiw_f3VCaV-Q,Freak#99999,Master,EUW1
kLO4ZYqGupXH08hHCvLHfyKEPmRcmrbINCVoAhTencluQjs07_9IAHnTKcaV9md8rO07KBsI6so2CQ,Manga Reader#Climb,Master,EUW1
VChPXiuXNwaG-9aUG8PIvAgzVtDnAjrRQShWy5sKpHlr65GU03GrTqj2APyZTEuN2FgvbtZHJMwDkg,Darky#Gwen,Master,EUW1
QIY-CTXYHovt9vf13cBtBxIH3smYbotgVSck18oneo0ub5dVkHqfvXCHiuK88bepBV450JC2wApE_w,DJ AATROX#DEATH,Master,EUW1
dDoNVj1OdYpDDu9Ya9gH1G2RHnVT7f8FSOg4uuIHrZ_tpYKZoGhs3CcSjZwXUxGji5XF_tTABIIqnQ,Gazir#kaii,Master,EUW1
X2xp1rA9FJ3xlx5I4KecYvzmR7RAlUf4MT4CUZHeiHigt5GWp6uD04MA37FK2gsUUQ1ToTyprudQpw,Jon#FILL,Master,EUW1
cu_CGQVvpQbFHpbF4yw-qghNkJ9grP5gE6hgc_JRyboJ06D8Z4IJdouuNbMgR-0iR1-menAg1QuohQ,Tug#ZOFGK,Master,EUW1
XywsYL5DY92ga89VlzNH-6pCJPSUpmUceLly6hYVCEXA3QB0iYb2d6j2TkwOr8YmSWtlNULqCB020w,Algorithm#Keria,Master,EUW1
XMPfxkHF_DLZ24PtmdHbtGPIHLw27W7sxtK6DhNfOjlfMg2O2TDdOH3uaUb5DxKU6LF3_tyWSG7ENw,When Doves Cry#4444,Master,EUW1
6fBzAoBDVONAm3fZqHsZsmeFLNmn06bBJDyUSKLhG5pvlpY67O5xisn4aoRp7TWsWpeqIbDkO523Hg,xApeHellx#EUW,Master,EUW1
