puuid,summoner_name,tier,region
zrqNaOhBMom4fFiobUBXGwmrUZthtJnsx7DTjwmrlU9weE5TN3a-4UuirTCxvuypISgMBPVZlLwcnw,JannasTitties#7744,Platinum,EUW1
1ccJeqk1pDiQ56RcBjcoZEqcTpY9O45BCw9hbNvutsqmEBAeC_wM37n3tJH5VVfdxc7i7xu53_NC9A,xrobustpwr#EUW,Platinum,EUW1
GSa1mK1LnHqMw-MNrNsBpObB97rt_kzTbxXN24wxuVPBZKnuVyVoZquSAyCutrcuobTxYitMOSYN1w,HIGH APM NO LIFE#1v9,Platinum,EUW1
TN9r5BCELQ94Fizv_cTz7aaSEGQp2bxgPr-0BSffn8Ptl1Nm5LXcrygpkoPI62ASUJciP2LzmYXzVQ,Yung Kaihua#EUW,Platinum,EUW1
TFiy3naNxXAgmMjtiQPt41y2TTR9uQ7rMH8Ky4n9eIu1sl-XLs-gJWOGHQ8lwlaad7BKfiHMn2s5CQ,Ichiban Pridé#EUW,Platinum,EUW1
4CSsFzQi-rgxx3Zwx5QlSJQPVAD0L-00lckoO3GA2KMPdq90uVhtQtlkJqsfNotSFsup1T62vENtDw,I SERVANT I #EUW,Platinum,EUW1
3l5d_z-s75hglPaRqY_aJVyTc1wDkoToVvHGutO0klMhob3OaptSeUBJ6dVMhn91-erCI2DR9rZC0A,RoroDelFuego#EUW12,Platinum,EUW1
ZNb_4rbqnP2bgvFAyeZndhftsqLcMk_tZAAv25O91cSyLWjCQ9XpnTuGXwdymXzDEcX8MAMoPxD3zQ,lightingdragon14#EUW,Platinum,EUW1
RI3wmIsA5Bg8qaCsXRh9xlfDhmrAhAm1DuPlNVF9giwmTdOiv4vuz8D0molyfDNKpYo5QzFZACS_rA,Insertnumber#EUW,Platinum,EUW1
NX1wL0xWTXzJC52qCFDYFKCHsm17mYn6rKwvfZUbn-x9vU673tN_r6MGqIhpIL7u4y60SKUqboB0zQ,Smoking Blue#EUW,Platinum,EUW1
kQeo5IPn5U59qnSCN5L1bMUyKfFFoG3Sn6XxA8gdRi7Zg7NDlrsAu2PZmrAd4Np2y7ek4NVBd29gEQ,Panhafunfu#EUW,Platinum,EUW1
6KcilXVkQM5xCb6e___h6U6g8xA3UoBghF6qbtkD1VE3neKbNHDxBGYqPjrJO8La0pd4SbXUgmGNCg,MetalG1#gang,Platinum,EUW1
VeYzn8Mxv0g5P2J47ymGF9dmEv5XTqRSUxw8mgbQA_g27G2fiAk1mh9WRJMLN8hh3Xh5TYCzRW030w,Rodog Du Chenil#EUW,Platinum,EUW1
YeHA6DNE5zOWaiBkdg4cCenn4ElzAN6fiB06v7POAQdPKyDPfck5RRJgiNuWkC2Z88MCiyyD2y5BtA,ozuna baby#0000,Platinum,EUW1
