puuid,summoner_name,tier,region
K5Rh0v2XHysBqHmFsb9AepMUxXYO-aLvG2kZb2dVKmdvpECGDRyWEfUfTqP_2BRGP4M1hsfxUR7NLQ,yyoloswaggins#EUW,Silver,EUW1
0aovdNRPkDzaUAXTRfOu7_1-Z9PaG1Jew5tG6qlODbrKP0gWaWhEORccftg7EMMPDpfV2Nvl_EAqLg,kSxKingSlayer#EUW,Silver,EUW1
9YxLiWAbDnhxzzPathtvy3G7BErGoUPEgXCqVf6OmZ5pZKooSgAbR1UMmuIANxdA_MOB4F5b_UavKQ,guilhermeptmad#EUW,Silver,EUW1
gGLIzfRa2qJ_FTY45np20Stqx_9ad63TobF57jfVZR1_yR4XFgo3tE_VZ9zL4jHX3KFUVuRdppXWZA,MAMANDRE#EUW,Silver,EUW1
vg49SMQt19VqWFT-YkNeOeEwvWdNIX_mpkhyfavrntQhXHJ_tyQ-SRIbsFum7PyFZgJbRwpWQNW_UQ,Tzugo#EUW,Silver,EUW1
8VS4E0ebjUqLZDnHtzAZLrQQglsehp5xYUh9poaE_lCWZQwC__j3K_s5lxZXH2aLTOQ-vrvxuGhNAg,Loki#GG69,Silver,EUW1
x76PAaJJeMgxYDM1-fKioY--FV4yBhhb3Wk1l625m5YyTEOZn3XrNctsV6dqkKZivYLCXXdW-llGfQ,Menzo Gaming#EUW,Silver,EUW1
JFXWKftujBu3yme54wTkrQuJQOFByPu3vOyEhH06rRGWonBzspeFFEXkt778OOL29kPF4HTI3OI1SQ,bandanazzz#6969,Silver,EUW1
ldoEB_7M-MEghzRAijCtglxBD1idWt2APSqZkojWQofwRQmX6jFyWY90pzvwRqDpajtGWUsGCH8dVg,Stolle#RIRL,Silver,EUW1
Uu1i8gJWIA0vUittuH0C3sviohq3dXDh0Li9q76YWPquNjZGRVaoiEKnUIEAyDVQ9HBbuaNoUKv2rA,Ares833#EUW,Silver,EUW1
Gu--3xJbPy6CjROwZSn-yrw0IDkTarz5TFQsDkc5WfdSFsxTscte_g-H-2Z_ZD3-JH5nODqphiQPPA,GRMladen99#EUW,Silver,EUW1
9JodVxa4Bl8vkk2GL8dbrZ-CJhGGF0YW3CkXKziGU_qPYA3mEvDZsIj_f3pPMQY-Q8jta4oTHeOw_Q,LX76#EUW,Silver,EUW1
0uAdp0JAbabk8RxS1xtYhke7t01m53giiu8GyM2PIFKTdxmN7PGLdbr_VPqEhyinvw08rOdcWY-pbg,XRaynin#EUW,Silver,EUW1
VOXChvdtsnagVK69wjSCUqcfIxts47NBETvCqGtqtcq03dieJ2zW_ZwRJm4rR3Il9l3agl_71Az9rA,Deadfalas#EUW,Silver,EUW1
F8fDFbaEa2TxRXrdXF6a0EpQScRS0s4YJi9ZgVsVQJJSdmsGfQKb27NG8PuzSWmaNkhhcJedSRChpw,Zinøgre#EUW,Silver,EUW1
nOUUbL5bPAGXVnIMF3ZzBotzV2Xvd40C4jkcFYgo9ocJxSQMY1IKG5lQW5mC5saF11xfBTA4FdZagw,euthanasia#CR7,Silver,EUW1
oWEDsy-lFQ1ifAMZF_peodW-970hWuQH5pKSmpLfqd47NW6EynG0JuhAOaZPzv0jd10KlfiuSw6FRA,MilkBro1#21254,Silver,EUW1
aEke5QR4VsDmNY-fZlqN_aVVHN2vFG7SRiWfURYy8VOv_5EaUL8hcpMhR-LxUjuUbUMhoMGnqosK-w,Jean Khül#EUW,Silver,EUW1
8DwHLZHPoP7Yvyi6_cyT9fjOD5PfidWN08pARlMIO3YeEPkD6_NcgxOSa5CPwdPCIs4iVXrq-E9Z8g,GoofyGrefu#Gebu,Silver,EUW1
IJ9D9qgI7fI17pv5BH1kqDFtPuyCClWpF292sPpT6eoJi5WZTAEULD6w7bKhfzrhyUXMtWntvFAlEA,James Dino#EUW,Silver,EUW1
UO7Yw752s9Tj0VGinZoKAwsvL_bNTBXFjifz3qKv3ArmdO5MhLqzr0JnbFIiiS7gphCMyuYhiVGV7g,VlRJHIN#4444,Silver,EUW1
VsxLnchpqGwUbPccqopkwk9jwKCqkZUJGLEfLGCSG87HipwmCmoeGSMOw4QcmF01uZpsDIqQquPu_w,SexyJwoww#EUW,Silver,EUW1
flCNPKOthGPFmmEGkmMgqgyEb3VGl0Wu0skobLMYIcO1In6QTeS9yb9jn2wWZWg5Q9oaNqvOBQztYg,Suor Maurizia#EUW,Silver,EUW1
HB-eik_jwI9ZM3VD9uPmDssyZz6LJOgTVv7sUiVbzqg75WN5v1ShXtRfY5KKqylW-d8LUYJdYTlVFA,Yung Hamalanga#EUW,Silver,EUW1
7tGmHbvPYZxcTTq1eDjqxulfvKsEyiuQvRMmxgzX1fYufb1WclqJiw00Gg1jSr7lHwKJhV6Xgnx_Pg,Pyzz#Baal,Silver,EUW1
17_noz_l-0G_k8TcEDQXPBqUnUSagRa3YWhrmioT5zHaDj29zMBqSa57mE1pvA-agLewYXp_OXPQbQ,nasstqtpas#KLE,Silver,EUW1
RiEl0uJbkE_uRRpl-KAqvlTa8aPCTsKxlrptFvzD7HSoisjr6jiKD9-ONBImVQYdbULqkzLP7FYI7Q,keule#coach,Silver,EUW1
zk9PhFoxvBQt3QMB67kHmw8o0PzyojzA1jcaEMgHtRHkERj4BhGChCIcWifF-gHWmzsWKe_PUhHdWw,Dr Furiow#EUW,Silver,EUW1
