summoner_name,rank_tier,lp,win_rate,region
Ayoubaby#EUW,diamond,500,,euw
16            29#16 29,diamond,16,47%,euw
Rweli#LEAFO,diamond,500,48%,euw
Simon Petrikov#ICE1,diamond,500,41%,euw
hydrenoiire#EUW,diamond,500,33%,euw
Travail Ö Black#EUW,diamond,500,49%,euw
IM LEARNING#KEEP,diamond,500,47%,euw
Ata D Macia#NIKA,diamond,500,42%,euw
MisøgynistMaster#Misø,diamond,500,51%,euw
Valams#EUW,diamond,500,48%,euw
Mandarìn#Gazoo,diamond,500,42%,euw
Rykyu#EUW,diamond,500,47%,euw
GeorgeDeLaGrieta#ATZ,diamond,500,47%,euw
SlyTheOnlyOne#TTV,diamond,500,51%,euw
Moctor#5346,diamond,500,49%,euw
musse#1337,diamond,500,39%,euw
Gratis Koffie#EUW,diamond,500,49%,euw
Piruriru#Piru,diamond,500,47%,euw
CambodianGOD#CHONG,diamond,500,40%,euw
Sponegbob#Knob,diamond,500,47%,euw
NOMED#NF1,diamond,500,100%,euw
Warwisbur#9960,diamond,500,40%,euw
cloyzh#cloyh,diamond,500,42%,euw
ItsSillyCat#777,diamond,777,50%,euw
lwdlwqdl#EUW7,diamond,500,52%,euw
Sarakzite#RIGEL,diamond,500,49%,euw
SuLaGeRin#EUW,diamond,500,48%,euw
SLIWKAWIGOR#SLIWA,diamond,500,52%,euw
ROZPINAJROZPOREK#cult,diamond,500,52%,euw
RaisedByPinkward#1001,diamond,10,53%,euw
Fofnaid#Norbi,diamond,500,43%,euw
matiaslaclasse#EUW,diamond,500,51%,euw
nickxnicko#EUW,diamond,500,39%,euw
SirKT#7447,diamond,500,48%,euw
goryllos#2137,diamond,500,45%,euw
Abulba#meow,diamond,500,44%,euw
GunShot#Head,diamond,500,42%,euw
EndOfFaker#EUW,diamond,500,36%,euw
2718281#EUW,diamond,500,50%,euw
kiting twink#elle,diamond,500,47%,euw
Binoculars#APA,diamond,500,54%,euw
LZ Zed#Zed,diamond,500,50%,euw
POMA#EUWFU,diamond,500,46%,euw
Pit Rookie#BUFF,diamond,500,39%,euw
HardstuckPiggy#EUW1,diamond,500,53%,euw
LupusSpera#07771,diamond,500,45%,euw
Tazoneta#GOATH,diamond,500,50%,euw
Kycellos#NERF,diamond,500,40%,euw
Cristóvão#2002,diamond,500,48%,euw
Tackle#TCK,diamond,500,47%,euw
Rulquu#EUW,diamond,500,49%,euw
HMT Opelax#EUW,diamond,500,41%,euw
MattShawｼ#TSC,diamond,500,47%,euw
Dark#APT,diamond,500,37%,euw
PalaZune#EUW,diamond,500,47%,euw
i go derank#blind,diamond,500,48%,euw
DerTodo#VML,diamond,500,48%,euw
Gabbagamba#EUW,diamond,500,51%,euw
NGR Ζodiacc#EUW,diamond,500,49%,euw
sehr kluk#EUW,diamond,500,44%,euw
Danmaranda#EUW,diamond,500,44%,euw
magie#0345,diamond,500,57%,euw
johannesforever#EUNE,diamond,500,51%,euw
WeakSIde#S1ON,diamond,500,53%,euw
SUPERLEGGERA#GRE,diamond,500,41%,euw
IDR#TROLL,diamond,500,50%,euw
TobangaNö#Haram,diamond,500,40%,euw
Killua#zabou,diamond,500,43%,euw
kitten hunter#BOG,diamond,500,45%,euw
Jessidineyto#EUW,diamond,500,41%,euw
Emperor PhillDON#EUW,diamond,500,36%,euw
CANT WIN#EUN,diamond,500,44%,euw
AgnosticFour#Adhom,diamond,500,37%,euw
smile ur bad#EUW,diamond,500,42%,euw
Maakim#EUW,diamond,500,40%,euw
camx#0512,diamond,500,50%,euw
lucid fog#dream,diamond,500,44%,euw
harcsa#EUW,diamond,500,47%,euw
Kronisk Skeptisk#EUW,diamond,500,51%,euw
yc2p#EUW,diamond,500,49%,euw
RihnoxHD#EUW,diamond,500,24%,euw
对猫过敏的鱼#王魄罗,diamond,500,31%,euw
Kaichou#0000,diamond,500,46%,euw
DeadIine#EUW,diamond,500,48%,euw
VengeanceOfMorsa#EUW,diamond,500,50%,euw
Bissap Drinker#7TO3,diamond,500,43%,euw
Sunless#6667,diamond,500,49%,euw
TripleApple#EUW,diamond,500,54%,euw
Lionel Μessi#GOAT,diamond,500,52%,euw
Damatrixqt#EUW,diamond,500,24%,euw
Tygorx#EUW,diamond,500,38%,euw
Shanle#EUW,diamond,500,43%,euw
Zero To adidias#EUW,diamond,500,51%,euw
Masked Artist#Rat,diamond,500,53%,euw
Belafu#EUW,diamond,500,53%,euw
Bloodgreen#EUW,diamond,500,51%,euw
BAS3D#EUW,diamond,500,34%,euw
Valninho#1702,diamond,500,40%,euw
Yuuki Kitty#EUW,diamond,500,42%,euw
Samedoking#Supp,diamond,500,38%,euw
Ayoubaby#EUW,diamond,8,41%,euw
16            29#16 29,diamond,1,16%,euw
Rweli#LEAFO,diamond,1,,euw
Simon Petrikov#ICE1,diamond,1,,euw
hydrenoiire#EUW,diamond,1,,euw
Travail Ö Black#EUW,diamond,1,20%,euw
IM LEARNING#KEEP,diamond,1,,euw
Ata D Macia#NIKA,diamond,1,,euw
MisøgynistMaster#Misø,diamond,1,3%,euw
Valams#EUW,diamond,1,,euw
Mandarìn#Gazoo,diamond,1,3%,euw
Rykyu#EUW,diamond,1,,euw
GeorgeDeLaGrieta#ATZ,diamond,1,,euw
SlyTheOnlyOne#TTV,diamond,1,,euw
Moctor#5346,diamond,1,,euw
musse#1337,diamond,1,,euw
Gratis Koffie#EUW,diamond,1,,euw
Piruriru#Piru,diamond,1,,euw
CambodianGOD#CHONG,diamond,1,,euw
Sponegbob#Knob,diamond,1,,euw
NOMED#NF1,diamond,1,,euw
Warwisbur#9960,diamond,1,,euw
cloyzh#cloyh,diamond,1,,euw
ItsSillyCat#777,diamond,1,,euw
lwdlwqdl#EUW7,diamond,1,,euw
Sarakzite#RIGEL,diamond,1,,euw
SuLaGeRin#EUW,diamond,1,,euw
SLIWKAWIGOR#SLIWA,diamond,1,,euw
ROZPINAJROZPOREK#cult,diamond,1,,euw
RaisedByPinkward#1001,diamond,1,,euw
Fofnaid#Norbi,diamond,1,,euw
matiaslaclasse#EUW,diamond,1,,euw
nickxnicko#EUW,diamond,1,,euw
SirKT#7447,diamond,1,,euw
goryllos#2137,diamond,1,,euw
Abulba#meow,diamond,1,,euw
GunShot#Head,diamond,1,,euw
EndOfFaker#EUW,diamond,1,,euw
2718281#EUW,diamond,1,,euw
kiting twink#elle,diamond,1,,euw
Binoculars#APA,diamond,1,,euw
LZ Zed#Zed,diamond,1,,euw
POMA#EUWFU,diamond,1,,euw
Pit Rookie#BUFF,diamond,1,,euw
HardstuckPiggy#EUW1,diamond,1,,euw
LupusSpera#07771,diamond,1,,euw
