summoner_name,rank_tier,lp,win_rate,region
Narthoq#EUW,emerald,500,,euw
Crown#euw59,emerald,500,45%,euw
Papierjunge#AWW,emerald,500,48%,euw
RA Flamiror#EUW,emerald,500,54%,euw
KING TO ZAC#EUW,emerald,500,46%,euw
CosmicSnipa#EUW,emerald,500,46%,euw
CloudedAlex#EUW,emerald,500,44%,euw
Goupix#2773,emerald,500,46%,euw
tu21#221,emerald,221,42%,euw
Morgenstjerne#666,emerald,666,41%,euw
Sâwyer1#123,emerald,123,53%,euw
Yone se#EUW,emerald,500,44%,euw
César#GOATS,emerald,500,43%,euw
same haircut btw#lucky,emerald,500,46%,euw
PALADIN TOPLANER#EUW,emerald,500,48%,euw
TheHonoredOne#rouge,emerald,500,46%,euw
namivazquez#wave,emerald,500,43%,euw
Kyuuri#ff14,emerald,500,44%,euw
Tofupfanne#EUW,emerald,500,53%,euw
Ignis#lec,emerald,500,48%,euw
agdead#EUW,emerald,500,100%,euw
Passant#hqt,emerald,500,54%,euw
FullDraven#EUW,emerald,500,43%,euw
Der Veganer#DOGS,emerald,500,49%,euw
haatmeneerbeer#EUW,emerald,500,49%,euw
草莓兔#noob,emerald,500,55%,euw
Nosomi#EUW,emerald,500,47%,euw
D Bladez#666,emerald,666,46%,euw
Randralore#3715,emerald,500,42%,euw
Emissary of coom#EUW,emerald,500,48%,euw
Apophis#2093,emerald,500,45%,euw
Bend or Break#calm,emerald,500,44%,euw
MECARRY4NOBRAINS#6077,emerald,60,39%,euw
我喜欢千珏的肥臀#UWU,emerald,500,37%,euw
Caviavampier#EUW,emerald,500,41%,euw
ETT 2Trick#EUW,emerald,500,20%,euw
DeadTitan ARAM#EUW,emerald,500,49%,euw
Lettiberry#JINXI,emerald,500,20%,euw
a5aa#2008,emerald,500,44%,euw
Manu Chao#real,emerald,500,20%,euw
Love Yourz#2014,emerald,500,20%,euw
sød ostemis#EUW,emerald,500,34%,euw
4FUNPLAYER#4FUNN,emerald,500,61%,euw
DeathmarkedmyDad#EUW,emerald,500,20%,euw
Asimüs#8703,emerald,500,39%,euw
Aspect#1403,emerald,500,27%,euw
IvansitoKapital#EUW,emerald,500,0%,euw
ChenRonD#EUW,emerald,500,48%,euw
grifster#EUW,emerald,500,38%,euw
GêttingHeadSup#00000,emerald,500,50%,euw
Niklas280501#2805,emerald,500,20%,euw
Xaano#EUW,emerald,500,45%,euw
BigKiwi#107,emerald,107,44%,euw
KatAhrina#Kata,emerald,500,53%,euw
Adri85QY#888,emerald,888,47%,euw
Sefast#AItF4,emerald,500,21%,euw
EU Hype#EUW,emerald,500,20%,euw
ThiccGarry#thicc,emerald,500,40%,euw
Frieren#3476,emerald,500,42%,euw
JesusCarriesYou#1337,emerald,133,42%,euw
SNE Dexme#47623,emerald,500,20%,euw
Bloodwork1201#420,emerald,420,44%,euw
Karthrag#Karth,emerald,500,56%,euw
BuffEkkoOrInt#Weak,emerald,500,40%,euw
XxDarkinBladexX#EUW,emerald,500,20%,euw
Taunyeau#EUW,emerald,500,20%,euw
Lord of Ascent#EUW10,emerald,500,20%,euw
Andgel#EUW,emerald,500,43%,euw
noviru#EUW,emerald,500,40%,euw
xFreydora#xFrey,emerald,500,44%,euw
Astralknightx#EUW,emerald,500,60%,euw
Fyre Magician2#EUW,emerald,500,20%,euw
Raahnesan#Supp,emerald,500,20%,euw
ShutUPandICARRYU#EUW,emerald,500,20%,euw
Gumasushi#1905,emerald,500,20%,euw
Fotor#SNAKE,emerald,500,20%,euw
xxPeke#4699,emerald,500,25%,euw
Tonnerre#bière,emerald,500,20%,euw
Frisk Palle#EUW,emerald,500,40%,euw
SøulSilver#EUW,emerald,500,40%,euw
EXlLED#EUW,emerald,500,20%,euw
l Love Kalista#EUW,emerald,500,44%,euw
Baboù#EUW,emerald,500,20%,euw
Leverantören#EUW,emerald,500,47%,euw
Ochiy#EUW,emerald,500,31%,euw
Jeppeh01#EUW,emerald,500,51%,euw
Lurrbakken#EUW,emerald,500,44%,euw
Kamo#SKILL,emerald,500,44%,euw
LättmjöIk#EUW,emerald,500,20%,euw
lcebonq#EUW,emerald,500,30%,euw
TërrØr#EUW,emerald,500,20%,euw
Dommmy#Dommy,emerald,500,20%,euw
Noxus Caelum#Stars,emerald,500,20%,euw
IgnisAeternus#VIRTU,emerald,500,20%,euw
Slempegøy#EUW,emerald,500,27%,euw
nihaobeijing2005#frodo,emerald,500,20%,euw
ｐáｐａｒａｚｚｉｉ#EEeee,emerald,500,59%,euw
10 LP Warrior#1v9,emerald,10,48%,euw
MisPlayeRirl#mns77,emerald,500,20%,euw
Joshee#2908,emerald,500,53%,euw
Narthoq#EUW,emerald,8,54%,euw
Crown#euw59,emerald,1,,euw
Papierjunge#AWW,emerald,1,,euw
RA Flamiror#EUW,emerald,1,,euw
KING TO ZAC#EUW,emerald,1,,euw
CosmicSnipa#EUW,emerald,1,,euw
CloudedAlex#EUW,emerald,1,,euw
Goupix#2773,emerald,1,,euw
tu21#221,emerald,1,,euw
Morgenstjerne#666,emerald,1,,euw
Sâwyer1#123,emerald,1,3%,euw
Yone se#EUW,emerald,1,,euw
César#GOATS,emerald,1,3%,euw
same haircut btw#lucky,emerald,1,,euw
PALADIN TOPLANER#EUW,emerald,1,,euw
TheHonoredOne#rouge,emerald,1,,euw
namivazquez#wave,emerald,1,,euw
Kyuuri#ff14,emerald,1,,euw
Tofupfanne#EUW,emerald,1,,euw
Ignis#lec,emerald,1,,euw
agdead#EUW,emerald,1,,euw
