summoner_name,rank_tier,lp,win_rate,region
mimish1#G0D,grandmaster,500,,euw
SatØrius#EUW,grandmaster,5,43%,euw
고트 에킨#144,grandmaster,144,47%,euw
FO3SAKD3K3TO0530#EUW,grandmaster,500,37%,euw
Xaragonas#EUW,grandmaster,500,40%,euw
Iivo#Iivo,grandmaster,500,41%,euw
Abner#EUW0,grandmaster,500,46%,euw
OBK#EUW,grandmaster,500,49%,euw
The Grinch#2000,grandmaster,500,45%,euw
Ran Texhnolyze#angel,grandmaster,500,40%,euw
the days i lie#fear,grandmaster,500,46%,euw
Chill1000#larry,grandmaster,500,35%,euw
KiRKADELL67#EPSTN,grandmaster,500,46%,euw
2eveu#CNNO1,grandmaster,500,46%,euw
Coach Looca#Coach,grandmaster,500,40%,euw
CR7#Time,grandmaster,500,44%,euw
SOGEKING#EUW11,grandmaster,500,43%,euw
SunTzu#hidon,grandmaster,500,48%,euw
Chicken Invader#77777,grandmaster,777,43%,euw
JGKRAL#Vixen,grandmaster,500,45%,euw
SANSARSALVO22#BABA,grandmaster,500,100%,euw
DoTeX#EUW,grandmaster,500,44%,euw
not there yet#FPA,grandmaster,500,40%,euw
Lilipp#mute,grandmaster,500,36%,euw
Artix von#12345,grandmaster,500,47%,euw
Shourdy#EUW,grandmaster,500,39%,euw
wao#0000,grandmaster,500,50%,euw
Sakuryhu#saku,grandmaster,500,46%,euw
betrayal#Ιv9,grandmaster,500,42%,euw
Gonzo#2843,grandmaster,500,44%,euw
SEL0#EUW,grandmaster,500,36%,euw
Composites#EUW,grandmaster,500,42%,euw
haribo#7608,grandmaster,500,33%,euw
Jamie#EUW2,grandmaster,500,30%,euw
Koby Falks#KEK,grandmaster,500,46%,euw
aram hesabı#EUW,grandmaster,500,41%,euw
kagune#5623,grandmaster,500,44%,euw
FullClearUwUka#WORST,grandmaster,500,42%,euw
Alessio#ADC,grandmaster,500,45%,euw
Brevitate Vitae#EUW,grandmaster,500,45%,euw
Dealersz#EUW,grandmaster,500,40%,euw
Snaik#EUW,grandmaster,500,43%,euw
KC 16y TOP KING#KCWIN,grandmaster,500,43%,euw
TTV SupremeG0at#Akali,grandmaster,500,47%,euw
IHEBIC#0000,grandmaster,500,44%,euw
2026#OURS,grandmaster,500,47%,euw
Isildur#weak,grandmaster,500,45%,euw
TTV VinGOAT1#RKO,grandmaster,500,43%,euw
IMSF1#EUW,grandmaster,500,46%,euw
slavic adidas#combo,grandmaster,500,42%,euw
LEC2027#KOI13,grandmaster,500,47%,euw
Kami#HGL,grandmaster,500,39%,euw
Lathyrus#EUW,grandmaster,500,40%,euw
drooofan#Noula,grandmaster,500,51%,euw
TWTV KAAGAROO#EUW11,grandmaster,500,48%,euw
space generator#1010,grandmaster,101,45%,euw
bluerzor#grind,grandmaster,5,44%,euw
PoEs tk#EUW,grandmaster,500,43%,euw
Ichigo Kurosaki#5525,grandmaster,552,44%,euw
reksai kitten#enjoy,grandmaster,500,38%,euw
Trafo Kennen#1905,grandmaster,500,47%,euw
Regn#EU1,grandmaster,500,35%,euw
yebit#haha,grandmaster,500,42%,euw
Botlane Gandalf#BDSM,grandmaster,500,46%,euw
我爱玩打野#打打打,grandmaster,500,41%,euw
SmallBugi#EUW,grandmaster,500,41%,euw
PisheR#EUW,grandmaster,500,48%,euw
RhinoBelly#mmfgh,grandmaster,500,42%,euw
ZYB PEYZ#KR01,grandmaster,500,38%,euw
matiou#DEAD,grandmaster,500,44%,euw
