match_id,team_id,team_won,gold_diff,damage_diff,kills_diff,deaths_diff,assists_diff,vision_diff,turrets_diff,dragons_diff,barons_diff,cs_diff
EUN1_3644363485,100,1,-26,-24,0,0,0,-1,0,0,0,-1
EUN1_3644363485,200,0,26,24,0,0,0,1,0,0,0,1
EUN1_3645017795,100,0,-8671,-32209,-23,22,-24,3,-3,-1,0,-58
EUN1_3645017795,200,1,8671,32209,23,-22,24,-3,3,1,0,58
EUN1_3650370263,100,1,98,-510,0,-1,-2,-2,0,0,0,6
EUN1_3650370263,200,0,-98,510,0,1,2,2,0,0,0,-6
EUN1_3735399589,100,1,7684,21604,-4,4,-21,4,7,-1,1,40
EUN1_3735399589,200,0,-7684,-21604,4,-4,21,-4,-7,1,-1,-40
EUN1_3736618095,100,1,4860,17797,13,-13,15,-31,2,-1,0,26
EUN1_3736618095,200,0,-4860,-17797,-13,13,-15,31,-2,1,0,-26
EUN1_3739094986,100,1,11322,-39818,0,0,-22,31,6,4,2,135
EUN1_3739094986,200,0,-11322,39818,0,0,22,-31,-6,-4,-2,-135
EUN1_3739581421,100,1,11655,12688,11,-11,45,19,5,4,2,100
EUN1_3739581421,200,0,-11655,-12688,-11,11,-45,-19,-5,-4,-2,-100
EUN1_3761519201,100,0,-5557,-15196,-11,11,-6,-19,-2,-2,0,-36
EUN1_3761519201,200,1,5557,15196,11,-11,6,19,2,2,0,36
EUN1_3793780723,100,1,4485,18248,-7,7,5,-8,2,-3,-1,137
EUN1_3793780723,200,0,-4485,-18248,7,-7,-5,8,-2,3,1,-137
EUN1_3795666094,100,1,14382,3341,27,-27,19,16,12,0,0,64
EUN1_3795666094,200,0,-14382,-3341,-27,27,-19,-16,-12,0,0,-64
EUN1_3800561409,100,0,-5222,-12609,-13,13,-14,-12,-6,-4,1,-153
EUN1_3800561409,200,1,5222,12609,13,-13,14,12,6,4,-1,153
EUN1_3888698488,100,1,11498,44842,17,-16,31,33,6,2,1,91
EUN1_3888698488,200,0,-11498,-44842,-17,16,-31,-33,-6,-2,-1,-91
EUN1_3890952143,100,1,6924,25271,2,-2,-28,-13,9,5,2,184
EUN1_3890952143,200,0,-6924,-25271,-2,2,28,13,-9,-5,-2,-184
EUN1_3890982550,100,1,9225,13049,-6,6,3,-11,0,2,3,212
EUN1_3890982550,200,0,-9225,-13049,6,-6,-3,11,0,-2,-3,-212
EUW1_6817099542,100,0,-642,116,0,0,-1,1,0,0,0,-18
EUW1_6817099542,200,1,642,-116,0,0,1,-1,0,0,0,18
EUW1_6817506840,100,0,-6529,-5766,13,-13,-5,23,-2,0,-1,-130
EUW1_6817506840,200,1,6529,5766,-13,13,5,-23,2,0,1,130
EUW1_6817634722,100,1,7197,29545,5,-5,3,10,6,0,0,90
EUW1_6817634722,200,0,-7197,-29545,-5,5,-3,-10,-6,0,0,-90
EUW1_6817663548,100,0,-4323,4623,2,-1,-7,23,1,0,0,-85
EUW1_6817663548,200,1,4323,-4623,-2,1,7,-23,-1,0,0,85
EUW1_6817783270,100,0,-13406,-22652,-16,17,-17,-18,-9,-3,0,-143
EUW1_6817783270,200,1,13406,22652,16,-17,17,18,9,3,0,143
EUW1_6817833559,100,0,-9202,-28533,-7,7,-15,3,-3,-5,-1,-82
EUW1_6817833559,200,1,9202,28533,7,-7,15,-3,3,5,1,82
EUW1_6817944924,100,1,3958,-16081,3,-3,12,-26,7,2,1,-72
EUW1_6817944924,200,0,-3958,16081,-3,3,-12,26,-7,-2,-1,72
EUW1_6818000162,100,1,6942,30426,20,-18,6,34,8,1,0,28
EUW1_6818000162,200,0,-6942,-30426,-20,18,-6,-34,-8,-1,0,-28
EUW1_6818001169,100,1,8437,14645,17,-17,19,42,4,1,0,-2
EUW1_6818001169,200,0,-8437,-14645,-17,17,-19,-42,-4,-1,0,2
EUW1_6818043187,100,1,13605,36689,12,-12,29,-53,6,1,2,131
EUW1_6818043187,200,0,-13605,-36689,-12,12,-29,53,-6,-1,-2,-131
EUW1_6818608642,100,0,-9519,-51676,-13,12,-64,23,1,2,0,65
EUW1_6818608642,200,1,9519,51676,13,-12,64,-23,-1,-2,0,-65
EUW1_6818842378,100,0,-10290,-18801,-13,13,-21,-9,-7,-4,-1,-86
EUW1_6818842378,200,1,10290,18801,13,-13,21,9,7,4,1,86
EUW1_6819270989,100,0,-10297,777,-15,15,-11,-12,-7,-2,-1,-129
EUW1_6819270989,200,1,10297,-777,15,-15,11,12,7,2,1,129
EUW1_6819295737,100,0,-13689,-22792,-25,25,-15,-5,-4,0,0,-172
EUW1_6819295737,200,1,13689,22792,25,-25,15,5,4,0,0,172
EUW1_6819908006,100,0,-12994,-45881,-19,20,-37,32,-6,-2,-1,-172
EUW1_6819908006,200,1,12994,45881,19,-20,37,-32,6,2,1,172
EUW1_6820040707,100,1,4813,-2063,4,-4,-9,-30,5,-1,0,68
EUW1_6820040707,200,0,-4813,2063,-4,4,9,30,-5,1,0,-68
EUW1_6820125811,100,0,-10534,-56361,-24,24,-21,-18,-8,-4,-1,-11
EUW1_6820125811,200,1,10534,56361,24,-24,21,18,8,4,1,11
EUW1_6820565229,100,0,-9547,-13250,-13,13,-10,-24,-3,-1,0,-130
EUW1_6820565229,200,1,9547,13250,13,-13,10,24,3,1,0,130
EUW1_6820906514,100,1,11768,46465,18,-18,24,22,3,1,1,165
EUW1_6820906514,200,0,-11768,-46465,-18,18,-24,-22,-3,-1,-1,-165
EUW1_6821016094,100,1,10588,38275,13,-13,28,21,8,1,0,91
EUW1_6821016094,200,0,-10588,-38275,-13,13,-28,-21,-8,-1,0,-91
EUW1_6821136162,100,1,3778,4964,9,-9,18,-25,5,3,0,52
EUW1_6821136162,200,0,-3778,-4964,-9,9,-18,25,-5,-3,0,-52
EUW1_6821401584,100,0,-13152,-24532,-26,26,-19,-42,-4,-2,0,-126
EUW1_6821401584,200,1,13152,24532,26,-26,19,42,4,2,0,126
EUW1_6821403996,100,1,8310,1397,3,-4,28,24,1,4,2,-134
EUW1_6821403996,200,0,-8310,-1397,-3,4,-28,-24,-1,-4,-2,134
EUW1_6821439859,100,1,1721,104,3,-3,7,16,-3,0,1,-34
EUW1_6821439859,200,0,-1721,-104,-3,3,-7,-16,3,0,-1,34
EUW1_6821514198,100,1,9154,23677,19,-19,34,12,3,1,0,35
EUW1_6821514198,200,0,-9154,-23677,-19,19,-34,-12,-3,-1,0,-35
EUW1_6821528436,100,0,-9474,-22288,-13,13,-28,3,-3,-3,-1,-72
EUW1_6821528436,200,1,9474,22288,13,-13,28,-3,3,3,1,72
EUW1_6821583867,100,0,-4600,-6436,-7,7,-1,-13,-2,-1,0,-72
EUW1_6821583867,200,1,4600,6436,7,-7,1,13,2,1,0,72
EUW1_6821604035,100,0,-9509,-7313,-5,5,-4,0,-5,-2,0,-238
EUW1_6821604035,200,1,9509,7313,5,-5,4,0,5,2,0,238
