puuid,tier,winrate_zscore,kda_zscore,dmg_share,gold_share,avg_game_time,champ_mastery_entropy,avg_kill_participation,avg_gold_per_min,avg_damage_per_min,avg_vision_per_min,team_first_blood_rate,team_first_tower_rate,team_first_dragon_rate,player_first_blood_rate,current_win_streak,current_loss_streak,longest_win_streak_20,longest_loss_streak_20,recent_winrate_5,recent_winrate_10,winrate_trend_10,recent_kda_5,recent_kda_10,kda_trend_10,kda_volatility_10,prediction,anomaly_score,is_anomaly,summoner_name
--Q9WQ05YADeEIfiAc0WdFxj2W9jOB857MvtetaDh6uy1ZskLJ-3Gr9ff4XtLfqQ2i3NGoGuOjJkWQ,Gold,-0.031593021466102,0.1190823482026096,0.2189046632982212,0.2242144421282796,1835.16,3.3216241054334823,0.4597693360743438,471.6106241075271,846.1656749356317,0.7144514147371578,0.42,0.52,0.5,0.1,1,0,8,3,0.8,0.7,-0.1,2.195909090909092,4.783073593073594,-2.7770118770118764,5.950506095562982,1,-0.422174698616448,False,Dr Hakunamatata#EUW
-20zfEu2Jf0xpggy2sdi1ncVNZZgrPcSeBX6mNRZBRcMJSI3IChq-lmV6BEAXNINXzejk0kubLdGeA,Gold,0.0085087781557535,0.0004151639047394,0.2316466062091086,0.2122654303657405,1691.98,4.821467880151843,0.4586410179202562,433.6263737681024,842.5567504355781,0.5969400140049481,0.58,0.44,0.48,0.16,0,4,3,4,0.2,0.3,-0.3999999999999999,2.173636363636364,1.4927705627705627,-1.9638961038961045,1.3842932663652636,1,-0.4519603823582425,False,Hectaria fanboy#SEN
-5-zW5UbyN95ozyXvsy6IOUsDnulN7WvT11Zl9D0qcqTK2Gzl3L0wdBkYl7PcDMpvLTmoEkiKC0q9g,Platinum,0.0205919939503749,-0.1326364826679608,0.2287408742775738,0.2233888242415699,1725.02,3.513727823546238,0.4599985189424695,410.5964899402342,717.7970565593429,1.0903906533403118,0.4940381318842756,0.4956261701084848,0.4949441960904057,0.1679790705374592,2,0,6,3,0.4,0.7,0.0999999999999999,1.5266666666666666,3.435,0.0865151515151514,3.807306207222576,1,-0.3702178594090372,False,Mixelin D Gordax#EUW
-5YPXTdesX0f_kl2FpCULEpAM9zfGcKPpBTwb_frlNILSBmTyhjL7aXBUDXZrGzz2r8hHn82t0351Q,Emerald,0.0811011760926203,-0.2576500431051515,0.2286214991153453,0.2124292169941229,1672.8,2.6366348447388006,0.4208583191254502,441.5441979689647,840.9630677109744,0.605664871079971,0.48,0.52,0.42,0.08,3,0,3,3,0.6,0.6,0.0999999999999999,2.8073015873015867,2.7041269841269844,0.5367063492063497,1.7528516448601374,1,-0.3755353816877963,False,noviru#EUW
-6q2Cy4q6Kn94OsC8vp-KPAwbiXN4mtl9gPpBWe7k1vJm9HUsU0q97LizgOP72mrNYXCaDOwuoexZQ,Iron,-0.0412831757045787,0.2529486249910319,0.1724976328517889,0.1836106629483057,1426.4,3.3219280948729355,0.4660020213759263,348.5250598362093,508.51078693555183,0.7315417753363038,0.5,0.3,0.4,0.0,1,0,3,5,0.8,0.4,0.0,5.002380952380952,3.305,0.0,3.2763570088488687,1,-0.452954462851679,False,FoulLegacy69#EUW
-6tyMkhUo00UdeDL0R0wfBwalF8ZEUo2Fbqmxyx4o7bTLZpBd3RpmRkEPJLyp4cLw5yOcol0DipZXA,Emerald,-0.0793977130355749,0.3426951402967549,0.2249513712811576,0.2017974251761122,1795.32,2.9904903797508875,0.4780926909141201,422.4075010253081,899.938121808686,0.7065100356723728,0.5,0.58,0.58,0.16,1,0,2,2,0.6,0.6,0.1999999999999999,6.790000000000001,6.078333333333333,2.6925,4.01610680745531,1,-0.4129519805433342,False,Sinocci#uwu
-D8diJiYgULdTLN0PF2m6pJhECuMB8Rr3B4TjtITcIas7jDmUaw6ymUFqGSPTdEwMDcxY99zK1ae7g,Bronze,-0.0622448506731548,-0.2330880760388156,0.2077219577010444,0.2237073923397406,1639.56,2.210826500676561,0.4095074217007475,437.7498290322936,751.8125552528562,0.5949522362812403,0.44,0.34,0.5,0.24,4,0,4,8,0.8,0.5,0.2,3.5180952380952384,1.973593073593074,-0.2211038961038958,1.859388726681662,1,-0.4220519263032326,False,sharkenny#EUW
-DNdijDShaoYwDKAsfsMMS7tv8_slmTg6XRx-hckzJrZihff_D1nDXKg74D1oqWSrkA4eGNNs5LCcg,Bronze,-0.1422626499444616,-0.2423541521766578,0.136360631026866,0.1537065927751862,1871.82,3.0904714068525427,0.5169030758899505,296.3281218475793,488.2925486557344,1.7280832750235648,0.58,0.44,0.46,0.24,0,1,5,5,0.8,0.8,0.6000000000000001,2.973015873015873,4.405555555555556,2.75202380952381,2.375801650918046,1,-0.4870747212964508,False,φleonaφ#EUW
-F9LpTjjYyAPWTxGLz9a764ZO34ie0EFCBt5cQv2ra_lK2lIM3QQXHd4_AivICC3K7jgsWf7a94YIg,Gold,0.1288141770213204,0.1621155103709271,0.1199546152935369,0.153370860092234,1787.3,2.6284963719278327,0.4957842831479368,307.9244753416839,358.3676008600911,2.075996207296593,0.36,0.48,0.4,0.14,2,0,2,2,0.6,0.6,0.0,2.756666666666667,3.7481746031746033,0.6926388888888888,2.478739938312171,1,-0.4367443987778958,False,MoonLight77#M00N
-GqRcYpLc5fZ33Cnmx2ikkKvt0_ZIN3lXhzne3etlESyZBWCQ5Lrxe9Trm5lpAbajqSvVsPbtOve6g,Grandmaster,0.0117207412929422,-0.1333792972137283,0.2575035952868792,0.2265362305575921,1637.04,3.252096688972795,0.4788291119418157,486.01242306409904,961.1199509724908,0.8324544384700006,0.42,0.42,0.48,0.2,4,0,4,7,0.8,0.7,0.4999999999999999,6.013333333333334,4.368055555555555,2.5873412698412697,3.7779549080206127,1,0.0,False,free palestine#mune
