summoner_name,rank_tier,lp,win_rate,region
Quedoxyde#EUW,bronze,500,,euw
theBoxi#6656,bronze,500,57%,euw
Jetstream Sam#42069,bronze,500,44%,euw
EcooE#EUW,bronze,500,58%,euw
Tristouf#EUW,bronze,500,51%,euw
jjor#EUW,bronze,500,0%,euw
NEMER#1860,bronze,500,58%,euw
Kalekukhra#Bhaat,bronze,500,37%,euw
Asperge Molle#EUW,bronze,500,71%,euw
DarckDead57#EUW,bronze,500,46%,euw
kahmlot#EUW,bronze,500,53%,euw
LifeIsMotion#777,bronze,777,48%,euw
More21#9806,bronze,500,56%,euw
Dwayne J#Rock,bronze,500,50%,euw
TheodoreBagwell#fox,bronze,500,56%,euw
Zoochy#EUW,bronze,500,52%,euw
Ramboplxdodo#EUW,bronze,500,67%,euw
C9 Donar#EUW,bronze,500,50%,euw
Andre0#EUW,bronze,500,37%,euw
Mashinra#EUW,bronze,500,50%,euw
PITAS5O#EUW,bronze,500,100%,euw
Capitão Llama#Neves,bronze,500,39%,euw
TP Anvitrix#AUT,bronze,500,44%,euw
C4G0D1OS#EUW,bronze,500,53%,euw
Painintheaxe#EUW,bronze,500,42%,euw
javinetshock#75989,bronze,500,27%,euw
insecuresummoner#EUW,bronze,500,53%,euw
Helix85#EUW,bronze,500,53%,euw
Unlucky#TnT,bronze,500,56%,euw
clavde#EUW,bronze,500,58%,euw
Mortauxcon#EUW,bronze,500,71%,euw
Aruhka#EUW,bronze,500,60%,euw
DenoFT#EUW,bronze,500,50%,euw
El Bajistoo#EUW,bronze,500,20%,euw
ElGoblino#sbur,bronze,500,50%,euw
Just The One#EUW,bronze,500,50%,euw
Djélaba#EUW,bronze,500,55%,euw
Alpha Darius#EUW,bronze,500,50%,euw
Grouh#EUW,bronze,500,52%,euw
Pizza Kebab#55555,bronze,500,50%,euw
SaftOnkel#123,bronze,123,47%,euw
vîncen#EUW,bronze,500,60%,euw
KenAbi#TR1,bronze,500,50%,euw
FRITE#2899,bronze,500,54%,euw
TriskiKann#9670,bronze,500,43%,euw
Yat just better#BOIL,bronze,500,57%,euw
CutePumpkinS#0126,bronze,500,50%,euw
Cracks#PAW,bronze,500,53%,euw
kapitar#9735,bronze,500,57%,euw
Mokkoshi#6969,bronze,500,48%,euw
HisHappyEnding#wof,bronze,500,42%,euw
lufy is here#EUW,bronze,500,51%,euw
donthavenemies#7466,bronze,500,57%,euw
CAKIBJ#BJ69,bronze,500,50%,euw
paandaaa#EUW,bronze,500,50%,euw
Firstblood161190#EUW,bronze,500,44%,euw
elchurumbesaurio#1234,bronze,12,52%,euw
Renophaston#EUW,bronze,500,53%,euw
Nudellauge#EUW,bronze,500,50%,euw
fenéktúró#911,bronze,911,49%,euw
Momytho#7777,bronze,500,48%,euw
facelillo#elrob,bronze,500,42%,euw
PandatoZor#EUW,bronze,500,44%,euw
Bho79#EUW,bronze,500,47%,euw
His Frog#crab,bronze,500,39%,euw
HPF GodKiller#King,bronze,500,54%,euw
KotoTFT#KOTO,bronze,500,46%,euw
Almaozzy#EUW,bronze,500,53%,euw
Dobrydodo2#EUW,bronze,500,52%,euw
HETERISIMO#EUW,bronze,500,36%,euw
pandzzii#EUW,bronze,500,20%,euw
Noco#SLAY,bronze,500,48%,euw
21flxmes#EUW,bronze,500,34%,euw
LineBully#EUW,bronze,500,53%,euw
Tiqx#1167,bronze,500,61%,euw
Astrix#KcM,bronze,500,47%,euw
ElriCapinga#5906,bronze,500,57%,euw
SHYiNi#ttv,bronze,500,50%,euw
fk my jgl#EEBK,bronze,500,42%,euw
PTX Patxiku25#EUS,bronze,500,37%,euw
Arkeur#Noob,bronze,500,42%,euw
IF Colink22#1808,bronze,500,50%,euw
Morbus1907#EUW,bronze,500,44%,euw
jarek#audi,bronze,500,44%,euw
daricarlos#EUW,bronze,500,27%,euw
Redhawk2301#EUW,bronze,500,50%,euw
Polskiboy#EUW,bronze,500,47%,euw
GuardianPhoenix#Ember,bronze,500,37%,euw
itZkimba#6969,bronze,500,50%,euw
DEMONKOBE#EUW,bronze,500,49%,euw
Goth Asuka UwU#EUW,bronze,500,37%,euw
jnr s wife#nuski,bronze,500,37%,euw
xCloudOMG#EUW,bronze,500,51%,euw
ismaa#2121,bronze,500,53%,euw
L9 Dvali#777,bronze,777,29%,euw
CARNVGE#6319,bronze,500,50%,euw
LIV3LIN3#6734,bronze,500,41%,euw
veladi#TETE,bronze,500,50%,euw
Watermelosky#4444,bronze,500,49%,euw
Kurona#RAH,bronze,500,59%,euw
Quedoxyde#EUW,bronze,8,58%,euw
theBoxi#6656,bronze,1,,euw
Jetstream Sam#42069,bronze,1,,euw
EcooE#EUW,bronze,1,,euw
Tristouf#EUW,bronze,1,,euw
jjor#EUW,bronze,1,,euw
NEMER#1860,bronze,1,,euw
Kalekukhra#Bhaat,bronze,1,,euw
Asperge Molle#EUW,bronze,1,,euw
DarckDead57#EUW,bronze,1,,euw
kahmlot#EUW,bronze,1,,euw
LifeIsMotion#777,bronze,1,,euw
More21#9806,bronze,1,,euw
Dwayne J#Rock,bronze,1,,euw
TheodoreBagwell#fox,bronze,1,,euw
Zoochy#EUW,bronze,1,,euw
Ramboplxdodo#EUW,bronze,1,,euw
C9 Donar#EUW,bronze,1,9%,euw
Andre0#EUW,bronze,1,,euw
Mashinra#EUW,bronze,1,,euw
PITAS5O#EUW,bronze,1,,euw
Capitão Llama#Neves,bronze,1,3%,euw
TP Anvitrix#AUT,bronze,1,,euw
C4G0D1OS#EUW,bronze,1,,euw
Painintheaxe#EUW,bronze,1,,euw
javinetshock#75989,bronze,1,,euw
insecuresummoner#EUW,bronze,1,,euw
Helix85#EUW,bronze,1,,euw
Unlucky#TnT,bronze,1,,euw
clavde#EUW,bronze,1,,euw
Mortauxcon#EUW,bronze,1,,euw
Aruhka#EUW,bronze,1,,euw
DenoFT#EUW,bronze,1,,euw
El Bajistoo#EUW,bronze,1,,euw
ElGoblino#sbur,bronze,1,,euw
Just The One#EUW,bronze,1,,euw
Djélaba#EUW,bronze,1,3%,euw
Alpha Darius#EUW,bronze,1,,euw
Grouh#EUW,bronze,1,,euw
Pizza Kebab#55555,bronze,1,,euw
SaftOnkel#123,bronze,1,,euw
vîncen#EUW,bronze,1,3%,euw
KenAbi#TR1,bronze,1,,euw
FRITE#2899,bronze,1,,euw
TriskiKann#9670,bronze,1,,euw
Yat just better#BOIL,bronze,1,,euw
CutePumpkinS#0126,bronze,1,,euw
Cracks#PAW,bronze,1,,euw
kapitar#9735,bronze,1,,euw
Mokkoshi#6969,bronze,1,,euw
HisHappyEnding#wof,bronze,1,,euw
lufy is here#EUW,bronze,1,,euw
donthavenemies#7466,bronze,1,,euw
CAKIBJ#BJ69,bronze,1,,euw
paandaaa#EUW,bronze,1,,euw
Firstblood161190#EUW,bronze,1,,euw
elchurumbesaurio#1234,bronze,1,,euw
Renophaston#EUW,bronze,1,,euw
Nudellauge#EUW,bronze,1,,euw
fenéktúró#911,bronze,1,3%,euw
Momytho#7777,bronze,1,,euw
facelillo#elrob,bronze,1,,euw
PandatoZor#EUW,bronze,1,,euw
Bho79#EUW,bronze,1,,euw
His Frog#crab,bronze,1,,euw
HPF GodKiller#King,bronze,1,,euw
KotoTFT#KOTO,bronze,1,,euw
Almaozzy#EUW,bronze,1,,euw
Dobrydodo2#EUW,bronze,1,,euw
HETERISIMO#EUW,bronze,1,,euw
pandzzii#EUW,bronze,1,,euw
Noco#SLAY,bronze,1,,euw
21flxmes#EUW,bronze,1,,euw
LineBully#EUW,bronze,1,,euw
Tiqx#1167,bronze,1,,euw
Astrix#KcM,bronze,1,,euw
ElriCapinga#5906,bronze,1,,euw
SHYiNi#ttv,bronze,1,,euw
fk my jgl#EEBK,bronze,1,,euw
PTX Patxiku25#EUS,bronze,1,,euw
Arkeur#Noob,bronze,1,,euw
IF Colink22#1808,bronze,1,,euw
Morbus1907#EUW,bronze,1,,euw
jarek#audi,bronze,1,,euw
daricarlos#EUW,bronze,1,,euw
Redhawk2301#EUW,bronze,1,,euw
Polskiboy#EUW,bronze,1,,euw
GuardianPhoenix#Ember,bronze,1,,euw
itZkimba#6969,bronze,1,,euw
DEMONKOBE#EUW,bronze,1,,euw
Goth Asuka UwU#EUW,bronze,1,,euw
jnr s wife#nuski,bronze,1,,euw
xCloudOMG#EUW,bronze,1,,euw
ismaa#2121,bronze,1,,euw
L9 Dvali#777,bronze,1,9%,euw
CARNVGE#6319,bronze,1,,euw
LIV3LIN3#6734,bronze,1,,euw
veladi#TETE,bronze,1,,euw
Watermelosky#4444,bronze,1,,euw
Kurona#RAH,bronze,1,,euw
axener972#EUW,bronze,500,,euw
KaKaBumFairy#EUW,bronze,500,49%,euw
HmmKutchh#9565,bronze,500,41%,euw
ViroxT#BVT,bronze,500,35%,euw
Harukaze#1903,bronze,500,32%,euw
Xani03#EUW,bronze,500,52%,euw
AlaniLp#EUW,bronze,500,44%,euw
Lord Tremu#EUW23,bronze,500,50%,euw
T1 Hide on luffy#EUW,bronze,500,45%,euw
meruem#zzzzz,bronze,500,48%,euw
evernoxes#EUW,bronze,500,40%,euw
Neyz#1234,bronze,500,38%,euw
kaynAhnunge#EUW,bronze,500,43%,euw
NekoMasterFaker#EUW,bronze,500,45%,euw
Rondal5#EUW,bronze,500,54%,euw
yusaleh#EUW,bronze,500,50%,euw
Roseluxe#EUW,bronze,500,33%,euw
Lilo#xbe,bronze,500,50%,euw
