summoner_name,rank_tier,lp,win_rate,region
IBark4hotWomen#uwu,gold,500,,euw
Smiley#69696,gold,500,48%,euw
Somali Bakery#EUW,gold,500,51%,euw
Han Solo kiu#EUW,gold,500,34%,euw
Piplup#Diff,gold,500,47%,euw
Dr Hakunamatata#EUW,gold,500,48%,euw
ShinobiExecution#EUW,gold,500,44%,euw
16rango61#RANGO,gold,500,55%,euw
Toni#WToni,gold,500,38%,euw
spareribskonhulo#161O,gold,16,51%,euw
Lil Ruler#KRR,gold,500,45%,euw
WuriWürger#EUW,gold,500,44%,euw
Marmeladtagg#EUW,gold,500,39%,euw
El John Key#EUW,gold,500,50%,euw
Proper Chad#EUW,gold,500,45%,euw
King Of Curses#ZKX,gold,500,36%,euw
Soundry#EUW,gold,500,51%,euw
MrOber#EUW,gold,500,40%,euw
ORLD Freezer#EUW,gold,500,54%,euw
Im Pobe#EUW,gold,500,51%,euw
xZabracx#EUW,gold,500,100%,euw
Permacomo#kekw,gold,500,37%,euw
Kushin#Kuram,gold,500,37%,euw
Ganked by Milf#1747,gold,500,48%,euw
Hectaria fanboy#SEN,gold,500,51%,euw
Kiéros#7422,gold,500,39%,euw
ValyrianShíeld#EUW,gold,500,46%,euw
MyNeighborJotaro#EUW,gold,500,50%,euw
Baberger#EUW,gold,500,53%,euw
FS Spartan#EUW,gold,500,50%,euw
noweah#EUW,gold,500,60%,euw
KalleAusKieI#EUW,gold,500,49%,euw
gadou78#130,gold,130,41%,euw
Pamak zoo#EUW,gold,500,51%,euw
EiNxScHLuckSaHnE#EUW,gold,500,54%,euw
TheRealAppleTree#EUW,gold,500,43%,euw
DD Qu3nTonZ#EUW,gold,500,46%,euw
Mayarisa#EUW,gold,500,47%,euw
Billy el Gancho#6217,gold,621,47%,euw
Omood#EUW,gold,500,50%,euw
Sapfyr#EUW,gold,500,56%,euw
Prolageurx#EUW,gold,500,49%,euw
Rafik Saïfi#GOAT,gold,500,69%,euw
Voice In My Head#DURKA,gold,500,35%,euw
matschr#888,gold,888,51%,euw
Skorel#LOL,gold,500,57%,euw
KidnoT#1337,gold,500,50%,euw
kick navfa143#00001,gold,500,57%,euw
zimzalabim#loona,gold,500,50%,euw
mLoon#7736,gold,500,35%,euw
Duvy888#D888,gold,500,50%,euw
Phawphen#7766,gold,500,30%,euw
CrecheArsonist#Burnt,gold,500,44%,euw
Oclos95#zeubb,gold,500,42%,euw
GyxhJunior#6969,gold,500,35%,euw
Gay#5960,gold,500,42%,euw
Zaraiscadam#EUW,gold,500,38%,euw
0GankwinURlane#tybro,gold,500,34%,euw
Topkakss#EUW,gold,500,49%,euw
Protoman123456#EUW,gold,500,64%,euw
TIGRA#1234,gold,500,48%,euw
PtCCM#PEMWE,gold,500,57%,euw
AlvaHosea#EUW,gold,500,36%,euw
Lawsanya#EUW,gold,500,44%,euw
Marck#WORLD,gold,500,48%,euw
Sayf#BONK,gold,500,47%,euw
SOUS DOPAMINE#EUWW,gold,500,49%,euw
FeiduxL#EUW,gold,500,47%,euw
KC Léburnes#kaka,gold,500,45%,euw
11PA5PM#EUW,gold,500,47%,euw
Kami5#000,gold,0,44%,euw
KC  biboou#1011,gold,500,49%,euw
KC Naingui#2326,gold,500,44%,euw
NoYggdrasil#EUW,gold,500,40%,euw
MySkill#EZZ,gold,500,39%,euw
Tashiro#7250,gold,500,37%,euw
asbjorn1203#EUW,gold,500,54%,euw
NeedGothGF#AAA,gold,500,38%,euw
miles morales#3KK0,gold,500,46%,euw
Warkev13#EUW,gold,500,50%,euw
Hit 4 Crit TrYnd#EUW,gold,500,57%,euw
EZyacccine#EUW,gold,500,49%,euw
FoxSinKaufi#EUW,gold,500,46%,euw
Chat Ban Prophet#Toxic,gold,500,55%,euw
tiroarAPISSE#12345,gold,500,50%,euw
