summoner_name,rank_tier,lp,win_rate,region
Pekken#kant,master,500,,euw
Iblis#404,master,404,45%,euw
amedow#EUW22,master,500,44%,euw
Frank Lundy#AGENT,master,500,39%,euw
sans emploi#EUW,master,500,49%,euw
Nypreax#EUW,master,500,44%,euw
Freak#99999,master,500,42%,euw
Manga Reader#Climb,master,500,48%,euw
Darky#Gwen,master,500,40%,euw
DJ AATROX#DEATH,master,500,46%,euw
Gazir#kaii,master,500,39%,euw
Jon#FILL,master,500,47%,euw
Tug#ZOFGK,master,500,46%,euw
Algorithm#Keria,master,500,45%,euw
When Doves Cry#4444,master,500,48%,euw
xApeHellx#EUW,master,500,33%,euw
dddddd71#777,master,777,47%,euw
π M π#Pimen,master,500,43%,euw
DD MASINA#CMAX,master,500,46%,euw
Lesbian Princess#OwO,master,500,44%,euw
ΛŁΣX#ZIZON,master,500,100%,euw
ybm#Ł354,master,500,46%,euw
OMEGASPADUR#BG3,master,500,43%,euw
Poro#EXA,master,500,43%,euw
Naru#0707,master,5,49%,euw
born screaming#00000,master,500,46%,euw
Slym Jxmmy#EUW,master,500,40%,euw
Sofisbrownnuggie#Nom,master,500,48%,euw
역천괴#22051,master,500,40%,euw
CrıstinaFerreira#certa,master,500,47%,euw
midnight sun#fear,master,500,52%,euw
Jun#Zed,master,500,45%,euw
Sankaizer#aga,master,500,43%,euw
zng zng zng#11111,master,500,40%,euw
Seto Kaiba#APT,master,500,51%,euw
zzzxxwwwwqqqqq#133,master,133,46%,euw
Makimas Ass#GYATT,master,500,42%,euw
TwTv Keksereslol#0001,master,0,45%,euw
MrBanaBeer#444,master,444,37%,euw
Joexy#746,master,746,49%,euw
favo#dio,master,500,47%,euw
Mirage#Issue,master,500,40%,euw
HF Esko#FUEGO,master,500,40%,euw
Lokat#EUW,master,500,47%,euw
Tortank#âne,master,500,50%,euw
losin to offrole#EUW,master,500,43%,euw
Nyvaken#777,master,777,50%,euw
buf enchanters#EUW,master,500,45%,euw
Loouke#006,master,6,46%,euw
TwitchTV Nyro#euw2,master,500,45%,euw
Eat My Axee#EUW,master,500,50%,euw
Titaniâ#OMG,master,500,46%,euw
VΥD#EUW,master,500,51%,euw
8gwennerfs#troll,master,500,49%,euw
mageteaXD#ttv,master,500,48%,euw
Žygis#EUW2,master,500,50%,euw
Aachille#123,master,123,45%,euw
vexar#midif,master,500,39%,euw
Su zhan#DNF,master,500,46%,euw
TwTv PurifiedUC#0101,master,500,46%,euw
vkzwqfvp#eu1,master,500,47%,euw
AI GF and Sock#404,master,404,36%,euw
Leo#PRIME,master,500,43%,euw
Dark Passenger#1702,master,500,46%,euw
SAKU#VANA,master,500,45%,euw
yeat#cmngo,master,500,46%,euw
Tsiper#akos,master,500,45%,euw
dabi#para,master,500,49%,euw
mcs#2710,master,500,41%,euw
Kay Flock#PSA1,master,500,43%,euw
kwypjd#EUW,master,500,40%,euw
karabas#meow,master,500,40%,euw
äuss#EUW,master,500,46%,euw
Manυel#EUW,master,500,49%,euw
