summoner_name,rank_tier,lp,win_rate,region
JannasTitties#7744,platinum,500,,euw
xrobustpwr#EUW,platinum,500,37%,euw
HIGH APM NO LIFE#1v9,platinum,500,53%,euw
Yung Kaihua#EUW,platinum,500,42%,euw
Ichiban Pridé#EUW,platinum,500,51%,euw
I SERVANT I #EUW,platinum,500,40%,euw
RoroDelFuego#EUW12,platinum,500,48%,euw
lightingdragon14#EUW,platinum,500,47%,euw
Insertnumber#EUW,platinum,500,49%,euw
Smoking Blue#EUW,platinum,500,60%,euw
Panhafunfu#EUW,platinum,500,56%,euw
MetalG1#gang,platinum,500,43%,euw
Rodog Du Chenil#EUW,platinum,500,40%,euw
ozuna baby#0000,platinum,500,48%,euw
cK Hallotyp#WHY,platinum,500,43%,euw
Tasty Cull#EUW,platinum,500,55%,euw
Stark Q3#EUW,platinum,500,53%,euw
ratinsewerpipe#ttv,platinum,500,48%,euw
Pos Bleu#EUW,platinum,500,53%,euw
Urek#EUW,platinum,500,56%,euw
MonsieurBubu#EUW,platinum,500,100%,euw
Rayses#EUW,platinum,500,49%,euw
Volforce#EUW,platinum,500,53%,euw
ThePowerman#EUW,platinum,500,47%,euw
LRDCOMANDER#LRD1,platinum,500,53%,euw
laurbob#EUW,platinum,500,45%,euw
Tankdalf#EUW,platinum,500,45%,euw
AdmiraI Adonis#EUW,platinum,500,48%,euw
Mixelin D Gordax#EUW,platinum,500,50%,euw
Vikko#8448,platinum,500,54%,euw
イタチ#P53,platinum,500,46%,euw
DiegoIVO#BN10,platinum,500,47%,euw
stαkοlomeriα#3949,platinum,500,47%,euw
NekkoNekkoNii#4614,platinum,500,47%,euw
GRAPADORA#FUMAR,platinum,500,52%,euw
WD40#WD41,platinum,500,35%,euw
Vennto#EUW,platinum,500,36%,euw
Swinesberg#EUW,platinum,500,47%,euw
X0NiX#prt,platinum,500,46%,euw
Swarczy#EUW,platinum,500,47%,euw
Smurffs#Juice,platinum,500,54%,euw
Ayneko#3245,platinum,500,43%,euw
MaBri#1234,platinum,500,44%,euw
Fugzlife#EUW,platinum,500,53%,euw
lildopekprime#koka,platinum,500,47%,euw
Laxio#SSM,platinum,500,47%,euw
DonaldzHvG#EUW,platinum,500,35%,euw
bambaclapdogiam#EUWd,platinum,500,46%,euw
mn 1#0034,platinum,500,43%,euw
gugulam#EUW,platinum,500,57%,euw
Sjoeke#GOAT,platinum,500,41%,euw
EdgeSheeran#420,platinum,420,37%,euw
l G L A I V E l#EUW,platinum,500,47%,euw
Legendman29#EUW,platinum,500,51%,euw
Demi Fiend#SMT,platinum,500,49%,euw
Vitamin SIUU#No1,platinum,500,50%,euw
DHN Voltage#DHN,platinum,500,47%,euw
bil1#9412,platinum,500,49%,euw
SA1NTZ#777,platinum,777,46%,euw
Der Robert Geiss#007,platinum,0,59%,euw
HopeTM#EUW,platinum,500,54%,euw
Gelkim#EUW,platinum,500,40%,euw
Willem v Oranje#EUW,platinum,500,33%,euw
Cigarrín Zidane#6969,platinum,500,39%,euw
Krone#GWB,platinum,500,45%,euw
Skitopate#EUW,platinum,500,47%,euw
Zabadi#EUW,platinum,500,51%,euw
JLegende#JL1,platinum,500,42%,euw
Hdfhrsn#EUW,platinum,500,39%,euw
Rosenlund#EUW,platinum,500,47%,euw
Poneyboy#EUW,platinum,500,45%,euw
レゼxデンジ#power,platinum,500,47%,euw
Uzbad#EUW,platinum,500,53%,euw
Babalabab#EUW,platinum,500,52%,euw
solinko#EUW,platinum,500,50%,euw
Bronky#GIGA,platinum,500,46%,euw
PrizrakTuy#TUY,platinum,500,48%,euw
mental gap#0420,platinum,500,51%,euw
MBTHASUNG#GHENT,platinum,500,44%,euw
Sainsburys#Sains,platinum,500,39%,euw
Nagy Tibor#hívei,platinum,500,46%,euw
Gero187#9999,platinum,500,44%,euw
Alessandyr#2410,platinum,500,44%,euw
Cfelushi#FRMPL,platinum,500,66%,euw
Mister#Dumle,platinum,500,51%,euw
travel guide#0001,platinum,500,46%,euw
laurentsimo#9240,platinum,500,48%,euw
chaliii#EUW,platinum,500,54%,euw
NoobChampEnjoyer#sigma,platinum,500,50%,euw
Drakofor#1317,platinum,500,43%,euw
givememoney#1232,platinum,500,39%,euw
KruiseShip#EUW,platinum,500,34%,euw
Usaife game on#EUW,platinum,500,47%,euw
Axterix#pog,platinum,500,51%,euw
Yuil#Syndr,platinum,500,52%,euw
ZNGTSU#CHOVY,platinum,500,43%,euw
ZzZz Im So Bored#EUW,platinum,500,45%,euw
AB Omination#0003,platinum,500,49%,euw
0455827#EUW,platinum,500,57%,euw
Samidare v2#7651,platinum,500,41%,euw
JannasTitties#7744,platinum,8,42%,euw
xrobustpwr#EUW,platinum,1,,euw
HIGH APM NO LIFE#1v9,platinum,1,,euw
Yung Kaihua#EUW,platinum,1,,euw
Ichiban Pridé#EUW,platinum,1,3%,euw
I SERVANT I #EUW,platinum,1,,euw
RoroDelFuego#EUW12,platinum,1,,euw
lightingdragon14#EUW,platinum,1,,euw
Insertnumber#EUW,platinum,1,,euw
Smoking Blue#EUW,platinum,1,,euw
Panhafunfu#EUW,platinum,1,,euw
MetalG1#gang,platinum,1,,euw
Rodog Du Chenil#EUW,platinum,1,,euw
ozuna baby#0000,platinum,1,,euw
cK Hallotyp#WHY,platinum,1,,euw
Tasty Cull#EUW,platinum,1,,euw
Stark Q3#EUW,platinum,1,,euw
ratinsewerpipe#ttv,platinum,1,,euw
Pos Bleu#EUW,platinum,1,,euw
Urek#EUW,platinum,1,,euw
MonsieurBubu#EUW,platinum,1,,euw
Rayses#EUW,platinum,1,,euw
Volforce#EUW,platinum,1,,euw
ThePowerman#EUW,platinum,1,,euw
LRDCOMANDER#LRD1,platinum,1,,euw
laurbob#EUW,platinum,1,,euw
Tankdalf#EUW,platinum,1,,euw
AdmiraI Adonis#EUW,platinum,1,,euw
Mixelin D Gordax#EUW,platinum,1,,euw
Vikko#8448,platinum,1,,euw
イタチ#P53,platinum,1,3%,euw
DiegoIVO#BN10,platinum,1,,euw
stαkοlomeriα#3949,platinum,1,,euw
NekkoNekkoNii#4614,platinum,1,,euw
GRAPADORA#FUMAR,platinum,1,,euw
WD40#WD41,platinum,1,,euw
Vennto#EUW,platinum,1,,euw
Swinesberg#EUW,platinum,1,,euw
X0NiX#prt,platinum,1,,euw
Swarczy#EUW,platinum,1,,euw
Smurffs#Juice,platinum,1,,euw
Ayneko#3245,platinum,1,,euw
MaBri#1234,platinum,1,,euw
Fugzlife#EUW,platinum,1,,euw
lildopekprime#koka,platinum,1,,euw
Laxio#SSM,platinum,1,,euw
DonaldzHvG#EUW,platinum,1,,euw
bambaclapdogiam#EUWd,platinum,1,,euw
mn 1#0034,platinum,1,,euw
gugulam#EUW,platinum,1,,euw
Sjoeke#GOAT,platinum,1,,euw
EdgeSheeran#420,platinum,1,,euw
l G L A I V E l#EUW,platinum,1,,euw
Legendman29#EUW,platinum,1,,euw
Demi Fiend#SMT,platinum,1,,euw
Vitamin SIUU#No1,platinum,1,,euw
DHN Voltage#DHN,platinum,1,,euw
bil1#9412,platinum,1,,euw
SA1NTZ#777,platinum,1,,euw
