summoner_name,rank_tier,lp,win_rate,region
yyoloswaggins#EUW,silver,500,,euw
kSxKingSlayer#EUW,silver,500,51%,euw
guilhermeptmad#EUW,silver,500,43%,euw
MAMANDRE#EUW,silver,500,49%,euw
Tzugo#EUW,silver,500,36%,euw
Loki#GG69,silver,500,62%,euw
Menzo Gaming#EUW,silver,500,6%,euw
bandanazzz#6969,silver,500,37%,euw
Stolle#RIRL,silver,500,51%,euw
Ares833#EUW,silver,500,55%,euw
GRMladen99#EUW,silver,500,40%,euw
LX76#EUW,silver,500,50%,euw
XRaynin#EUW,silver,500,46%,euw
Deadfalas#EUW,silver,500,54%,euw
Zinøgre#EUW,silver,500,45%,euw
euthanasia#CR7,silver,500,52%,euw
MilkBro1#21254,silver,500,48%,euw
Jean Khül#EUW,silver,500,40%,euw
GoofyGrefu#Gebu,silver,500,51%,euw
James Dino#EUW,silver,500,43%,euw
VlRJHIN#4444,silver,500,100%,euw
SexyJwoww#EUW,silver,500,46%,euw
Suor Maurizia#EUW,silver,500,52%,euw
Yung Hamalanga#EUW,silver,500,25%,euw
Pyzz#Baal,silver,500,36%,euw
PruttFiaFrånOslo#69420,silver,69,58%,euw
nasstqtpas#KLE,silver,500,52%,euw
keule#coach,silver,500,51%,euw
Dr Furiow#EUW,silver,500,63%,euw
dawnkyn#EUW,silver,500,44%,euw
LÉGENDE DU CLUB#EUW,silver,500,46%,euw
Scazz#EVA,silver,500,29%,euw
Sheezin#EUW,silver,500,52%,euw
K4RÐ#31ER,silver,500,50%,euw
Thrindel#EUW,silver,500,60%,euw
MyselfJCVF#EUW,silver,500,54%,euw
oLp Miloux#EUW,silver,500,48%,euw
TBP Monique#8486,silver,500,56%,euw
Pinango Ale 69#EUW,silver,500,63%,euw
DanixShadow#EUW,silver,500,53%,euw
Rollingstonet#14900,silver,500,55%,euw
Kurima#EUW,silver,500,48%,euw
Partikl#EUW,silver,500,44%,euw
scr1pty#1214,silver,500,54%,euw
Mirakul#4065,silver,500,41%,euw
DonCarloAnceloti#coach,silver,500,46%,euw
baygara#888,silver,888,57%,euw
Katrying#99999,silver,500,31%,euw
M4TAM4TA#M44,silver,500,42%,euw
açıortay#AÇI,silver,500,57%,euw
Tavenor#KLR,silver,500,21%,euw
supendy#0001,silver,500,51%,euw
FlovWalanat#6389,silver,500,50%,euw
トレン#1800,silver,500,37%,euw
postillon2caca#3310,silver,500,30%,euw
VIKTOR FAKER PL#1994,silver,199,45%,euw
Suvaco de Bode#EUW,silver,500,45%,euw
Masterpoke#214,silver,214,49%,euw
SwyZzws#EUW,silver,500,45%,euw
Hxnxur#6073,silver,500,51%,euw
Nanou sama#213,silver,213,42%,euw
VinzReset#EUW,silver,500,27%,euw
ARESLINK2#4067,silver,500,39%,euw
Hachi#lefta,silver,500,55%,euw
xxTimax127xx#x420x,silver,500,20%,euw
IgDeTuPrima#1724,silver,500,53%,euw
H0llow K1tty#Kitty,silver,500,45%,euw
Diddi#Dvx,silver,500,40%,euw
ivamovich#5826,silver,500,44%,euw
Snake in Grass#KING,silver,500,51%,euw
Maçon#OwO,silver,500,42%,euw
FizoJG#EUW,silver,500,44%,euw
KenKanifffff#EUW,silver,500,41%,euw
Noajos#5090,silver,500,59%,euw
botchBraTz#print,silver,500,25%,euw
1LordMortem#2724,silver,500,20%,euw
Zyraaminho#EUW,silver,500,32%,euw
eto posle Fanti#EUW,silver,500,38%,euw
Laızy#cba,silver,500,64%,euw
muteallpls#pippa,silver,500,39%,euw
Minifresh#GOD,silver,500,54%,euw
Zeusunww#3193,silver,500,50%,euw
ahorn#717,silver,717,48%,euw
I truly hate you#EUW,silver,500,46%,euw
GrindXA#sipo,silver,500,47%,euw
BitterP0tat0#1112,silver,500,46%,euw
R3NG4R#666,silver,666,46%,euw
LeLicorne#0202,silver,500,14%,euw
MakronDémission#4444,silver,444,41%,euw
13Lutas#EUW,silver,500,27%,euw
PEBrichal#EUW,silver,500,52%,euw
PDF Peerorka#MINOR,silver,500,47%,euw
DanteHamori#EUW,silver,500,63%,euw
Skodoo#HEHE,silver,500,48%,euw
ΛCE Kazzy#EUW,silver,500,44%,euw
สาวบอย#ดาว,silver,500,52%,euw
DaniloxSupremee#EUW,silver,500,57%,euw
Xonix#000,silver,0,42%,euw
