"row_id","truth_tier","truth_class_index","predicted_tier","predicted_class_index"
1,"Gold",1,"Mid",1
2,"Gold",1,"Mid",1
3,"Master",3,"Elite",3
4,"Platinum",1,"Mid",1
5,"Emerald",NA,"Mid",1
6,"Emerald",NA,"Low",0
7,"Iron",0,"Low",0
8,"Iron",0,"Low",0
9,"Emerald",NA,"Low",0
10,"Iron",0,"Low",0
11,"Bronze",0,"Low",0
12,"Bronze",0,"Low",0
13,"Gold",1,"Mid",1
14,"Grandmaster",3,"Elite",3
15,"Gold",1,"Mid",1
16,"Diamond",2,"High",2
17,"Diamond",2,"High",2
18,"Gold",1,"Mid",1
19,"Diamond",2,"High",2
20,"Silver",0,"Mid",1
21,"Platinum",1,"Mid",1
22,"Diamond",2,"High",2
23,"Platinum",1,"Mid",1
24,"Iron",0,"Low",0
25,"Challenger",3,"Elite",3
26,"Bronze",0,"Low",0
27,"Gold",1,"Mid",1
28,"Platinum",1,"Mid",1
29,"Platinum",1,"Mid",1
30,"Bronze",0,"Low",0
