puuid,avg_kda,avg_cs_per_min,avg_gold_per_min,avg_damage_per_min,avg_vision,avg_vision_per_min,avg_kill_participation,team_first_blood_rate,team_first_tower_rate,team_first_dragon_rate,player_first_blood_rate,win_rate,champ_pool_size,main_role,matches_used,tier,recent_form_30,recent_form_10,kda_consistency,champion_pool,role_focus_pct,gold_std,damage_std,goldPerMinute,damagePerMinute,visionScorePerMinute,skillshotAccuracy,killParticipation,controlWardsPlaced,wardTakedowns,soloKills,deathTimeRatio,earlyCS,turretPlates,killsNearTurret,epicMonsterSteals,objectivesStolen,bountyGold,champion_pool_size,role_consistency,total_games,matches_analyzed,wins_in_matches
--Q9WQ05YADeEIfiAc0WdFxj2W9jOB857MvtetaDh6uy1ZskLJ-3Gr9ff4XtLfqQ2i3NGoGuOjJkWQ,6.171579531579532,1.1173014855923706,492.17683796153807,802.3078770069192,28.45,0.9196673042423148,0.4431750702539723,0.5,0.6,0.55,0.15,0.52,6,JUNGLE,20,Gold,0.6,0.7,5.845145421629816,15,0.42,81.21408247134715,321.7566117216423,471.8020067161061,846.411028760096,0.6978881798560025,0.5756666828562929,0.4597693360743438,1.06,2.62,1.42,0.09974760459636553,66.56500003635884,7.16,1.24,1,1,258.7113851928711,15,0.42,50,50,26
-20zfEu2Jf0xpggy2sdi1ncVNZZgrPcSeBX6mNRZBRcMJSI3IChq-lmV6BEAXNINXzejk0kubLdGeA,2.474718614718615,6.057193771038039,439.5934982974445,827.5630947730812,15.35,0.5673848803326572,0.4232969550332758,0.45,0.5,0.5,0.1,0.54,16,BOTTOM,20,Gold,0.5,0.3,7.272346595150704,33,0.36,86.21177612737085,441.0143028881519,433.7836997128192,842.7702762056574,0.5790387752020196,0.47882665635219207,0.4586410179202563,0.06,0.98,2.12,0.1069137214069201,62.40500001788139,7.14,2.36,5,5,274.05451263427733,33,0.36,50,50,27
-3SSGr-KnG0oXgzGD5ZlcPM14faNjuJIlrmtWo7S-Q88tI-zfa6DscoqCOOsx7xr5Jj_VPvE19aHJg,2.4543650793650795,0.9373223228322152,351.685039561043,419.3288409574316,45.0,1.7636173921560006,0.5266529363791199,0.5,0.5,0.55,0.3,0.4,3,UTILITY,20,Master,0.4,0.2,5.656332734201552,4,0.98,59.70606689765727,167.58346589382444,353.07967942919794,476.83511733171093,2.139666653747525,0.5176441334771906,0.5538489696605418,3.8482142857142856,5.125,0.6875,0.09923948782513722,14.892857142857142,5.196428571428571,1.4464285714285714,0,0,171.66628456115723,7,0.9464285714285714,112,112,50
-5-zW5UbyN95ozyXvsy6IOUsDnulN7WvT11Zl9D0qcqTK2Gzl3L0wdBkYl7PcDMpvLTmoEkiKC0q9g,3.391742424242425,7.112844836140157,412.1200666383263,721.1087817631384,22.2,1.1148604367537704,0.4586270666158978,0.4933723943757974,0.495054260614521,0.4945655736491977,0.1665533733241711,0.56,8,BOTTOM,20,Platinum,0.6666666666666666,0.7,5.760696572464132,21,0.62,95.21005201404884,386.5186095696091,472.168435265664,858.0618249661592,0.85956583754911,0.46022705988554113,0.4872878458375306,1.0,2.74,1.04,0.09211995979098252,56.48500001251698,9.26,1.62,0,0,155.17665252685546,21,0.62,50,50,28
-5YPXTdesX0f_kl2FpCULEpAM9zfGcKPpBTwb_frlNILSBmTyhjL7aXBUDXZrGzz2r8hHn82t0351Q,2.43577380952381,7.520423522312763,453.6269966622569,861.3151408660042,23.5,0.7581954162749571,0.4521129721122121,0.3,0.35,0.45,0.0,0.58,8,TOP,20,Emerald,0.5333333333333333,0.6,5.169238338478889,13,0.2,72.88562386899903,309.9280489946404,441.6638492072751,841.1787511739041,0.5885135378106511,0.4918537597126025,0.4208583191254502,0.0,1.58,1.48,0.10166661883862087,66.95600000202656,7.78,1.8,0,0,193.56088500976563,13,0.58,50,50,29
-5cT_p5mN_wG0fPnNxp-3s5WRK-vm32_mO8n1s8C-9pj07dhlCIo5kFATNxjqqxS22c2V-IvZucW-g,3.9583333333333335,2.3735758204840334,313.9582539991318,432.2242074174637,48.1,1.6052520323414452,0.4799917296898986,0.65,0.35,0.65,0.1,0.52,11,UTILITY,20,Emerald,0.5666666666666667,0.9,2.778043376191236,25,0.56,58.605852886659584,284.91774935526297,341.3047167118313,490.09738030517457,1.3898910165479395,0.4761863818675582,0.48661743429285553,0.88,5.22,0.32,0.06474447310917102,36.91200000345707,7.82,0.56,0,0,70.15913146972656,25,0.56,50,50,26
-6GTy3MIe3mhqQEKzr-vGSWEjkQno_Ot0t87Hoi9UO98wbo3OwrhoasCKO7HOKKcopcBh4BYts1R5g,6.088369963369964,0.7981722070037516,270.5408360039713,174.22484087990023,62.1875,1.728380770021488,0.5262720242727521,0.4375,0.375,0.375,0.1875,0.4375,4,UTILITY,16,Iron,0.4375,0.6,3.654914285930656,4,0.9375,33.19889151480215,116.94678861011536,270.61259359120845,174.25934887702581,1.7115505846223202,0.43197541115478816,0.5262720242727522,1.375,3.1875,0.125,0.07070956860850854,10.8125,4.4375,0.1875,0,0,58.01301193237305,4,0.9375,16,16,7
-6q2Cy4q6Kn94OsC8vp-KPAwbiXN4mtl9gPpBWe7k1vJm9HUsU0q97LizgOP72mrNYXCaDOwuoexZQ,3.305,2.334961629418511,348.5250598362093,508.51078693555183,15.8,0.7315417753363038,0.4660020213759263,0.5,0.3,0.4,0.0,0.4,10,UTILITY,10,Iron,0.4,0.4,3.5743006308927066,10,0.8,77.97218613468003,179.92426712059904,348.6928431369562,508.744608113098,0.7076510022499792,0.40813737385834,0.4660020213759262,0.0,0.6,0.7,0.08377019560788242,21.1,8.6,1.2,0,0,67.30187530517578,10,0.8,10,10,4
-6tyMkhUo00UdeDL0R0wfBwalF8ZEUo2Fbqmxyx4o7bTLZpBd3RpmRkEPJLyp4cLw5yOcol0DipZXA,4.732083333333333,7.041849528217938,427.0262780560678,905.943370616924,19.0,0.6363447837890556,0.4900002619973128,0.6,0.7,0.6,0.25,0.5,7,MIDDLE,20,Emerald,0.4666666666666667,0.6,5.645715189415776,11,0.9,68.68135292087146,320.99591184888146,418.3824329923828,874.0066730647665,0.7401324145444163,0.5274497142912412,0.487235779618897,0.2545454545454545,2.090909090909091,1.8,0.0757351470804866,75.03272727294402,6.963636363636364,1.8,1,1,234.70291595458986,13,0.8727272727272727,55,55,25
-9FOT3wcWBteK4_lme_4HswBdgSBy-D84-OM4sRKaZLNMPpbtPWQKyxebjFd_PfeghUY8rtvdf7rEw,6.159722222222222,5.156893015936336,380.5402966880248,540.6819781670016,10.666666666666666,0.392135359638031,0.3634265614275909,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,3,BOTTOM,6,Iron,0.6666666666666666,0.6666666666666666,3.601938135689359,3,1.0,36.42765404123108,127.04156274534982,380.60871096085344,540.7893837374526,0.3702671945788218,0.8417623007659262,0.36342656142759094,0.0,0.16666666666666666,0.6666666666666666,0.059913833928409564,58.666666666666664,9.666666666666666,1.8333333333333333,1,1,93.99701436360677,3,1.0,6,6,4
